"effect.size","hit.rate"
0.363,0.7764
0.364,0.7928
0.365,0.7996
0.366,0.792
0.367,0.7872
0.368,0.7906
0.369,0.795
0.37,0.798
0.371,0.8014
0.372,0.8058
0.373,0.8016
0.374,0.8166
0.375,0.7982
0.376,0.811
0.377,0.8088
0.378,0.8182
0.379,0.815
0.38,0.8154
0.381,0.815
0.382,0.8206
0.383,0.8148
0.384,0.821
0.385,0.8346
0.386,0.8248
0.387,0.8308
0.388,0.8338
0.389,0.84
0.39,0.8356
0.391,0.8418
0.392,0.8402
0.393,0.8466
0.394,0.8524
0.395,0.8458
0.396,0.8522
0.397,0.837
0.398,0.8512
0.399,0.8488
0.4,0.8556
0.401,0.8512
0.402,0.8492
0.403,0.858
0.404,0.8544
0.405,0.865
0.406,0.8644
0.407,0.874
0.408,0.8658
0.409,0.873
0.41,0.869
0.411,0.8692
0.412,0.8684
0.413,0.8676
0.414,0.867
0.415,0.8752
0.416,0.876
0.417,0.8744
0.418,0.8878
0.419,0.8842
0.42,0.889
0.421,0.8776
0.422,0.8848
0.423,0.884
0.424,0.8904
0.425,0.8952
0.426,0.8868
0.427,0.8992
0.428,0.8902
0.429,0.8882
0.43,0.8968
0.431,0.8928
0.432,0.9022
0.433,0.8932
0.434,0.8944
0.435,0.9012
0.436,0.9084
0.437,0.9104
0.438,0.904
0.439,0.9066
0.44,0.903
0.441,0.908
0.442,0.9116
0.443,0.9116
0.444,0.9128
0.445,0.9116
0.446,0.9086
0.447,0.9132
0.448,0.913
0.449,0.9112
0.45,0.9134
0.451,0.92
0.452,0.921
0.453,0.9196
0.454,0.9286
0.455,0.9164
0.456,0.925
0.457,0.9276
0.458,0.9276
0.459,0.92
0.46,0.9276
0.461,0.9344
0.462,0.9316
0.463,0.9316
0.464,0.9286
0.465,0.9354
0.466,0.9328
0.467,0.9318
0.468,0.9314
0.469,0.9346
0.47,0.9426
0.471,0.932
0.472,0.9336
0.473,0.9394
0.474,0.9424
0.475,0.9418
0.476,0.9444
0.477,0.9336
0.478,0.946
0.479,0.9432
0.48,0.94
0.481,0.945
0.482,0.941
0.483,0.9466
0.484,0.9448
0.485,0.9472
0.486,0.942
0.487,0.9542
0.488,0.9482
0.489,0.9508
0.49,0.9536
0.491,0.9544
0.492,0.954
0.493,0.9422
0.494,0.9542
0.495,0.9532
0.496,0.9596
0.497,0.9522
0.498,0.9544
0.499,0.957
0.5,0.9576
