subj,roi,betas1,param,betas2
107321,aud,-0.0432175842226588,distractor,0.00541044160248077
107321,aud,-0.0079557535388366,target,0.0159418064106533
107321,aud,-0.0295983143640042,congruency,0.0238966903017816
107321,aud,-0.0314117923900752,incongruency,-0.0202416261889519
107321,aud,0.0854356849857756,diagonal,-0.0441955711771053
107321,dlpfc_L,0.0246949321553893,distractor,0.000917658114973272
107321,dlpfc_L,-6.78064557551983e-05,target,-0.0237123670940064
107321,dlpfc_L,-0.00920193344474423,congruency,-0.0215055728271747
107321,dlpfc_L,0.0528902413385347,incongruency,0.0750193851858657
107321,dlpfc_L,-0.0175237536425873,diagonal,-0.0174709515929092
107321,dlpfc_R,0.0231377706474688,distractor,0.00596233848130302
107321,dlpfc_R,0.0371904254409772,target,0.00196733224244948
107321,dlpfc_R,-0.014450429928962,congruency,0.0107393255863477
107321,dlpfc_R,-0.0232476957700663,incongruency,-0.0288022528028896
107321,dlpfc_R,-0.0172190253272519,diagonal,-0.00820729221679308
107321,dlpfc.alt_L,0.0247810526496741,distractor,0.00131030523206596
107321,dlpfc.alt_L,0.00537094965895897,target,-0.0135690552592011
107321,dlpfc.alt_L,-0.00798024337989382,congruency,-0.0217680953283207
107321,dlpfc.alt_L,0.0343411147677497,incongruency,0.0744429053703411
107321,dlpfc.alt_L,-0.010716688963334,diagonal,-0.00793876783726182
107321,dlpfc.alt_R,0.0142192800246759,distractor,0.0121112347115324
107321,dlpfc.alt_R,0.0291332630038085,target,0.00769252207931268
107321,dlpfc.alt_R,-0.0225158684701073,congruency,0.0111858848762839
107321,dlpfc.alt_R,-0.0174492436888588,incongruency,-0.0190798126758901
107321,dlpfc.alt_R,-0.00552854787042258,diagonal,-0.00982099348392714
107321,dmfc_L,0.0079231231647853,distractor,-0.00910740960256961
107321,dmfc_L,-0.0116687525052676,target,0.00608897552830678
107321,dmfc_L,-0.0158392376711351,congruency,-0.00389985982900228
107321,dmfc_L,0.0147173693315167,incongruency,0.100281397352284
107321,dmfc_L,0.0151371206145099,diagonal,-0.0231773206929621
107321,dmfc_R,-0.0228979112482535,distractor,0.00497002352780356
107321,dmfc_R,-0.0143132671005656,target,0.0181293190465057
107321,dmfc_R,0.00909357445047482,congruency,0.00972142942129716
107321,dmfc_R,-0.0341490641765549,incongruency,0.0194390278773952
107321,dmfc_R,0.00685487082029317,diagonal,-0.0218930042774053
107321,dmfc.alt_L,0.00910993302341032,distractor,-0.0115297529383491
107321,dmfc.alt_L,-0.00977586520866081,target,0.00875548331908724
107321,dmfc.alt_L,0.00380118703315166,congruency,-0.00543394395091161
107321,dmfc.alt_L,-0.0068879855988863,incongruency,0.0795116595051568
107321,dmfc.alt_L,0.0119210665684558,diagonal,-0.0204148300652974
107321,dmfc.alt_R,-0.0235089096325621,distractor,0.00661798531817746
107321,dmfc.alt_R,-0.0105798500761423,target,0.0233090587008345
107321,dmfc.alt_R,0.0134182077203147,congruency,0.00993631835573316
107321,dmfc.alt_R,-0.0307746451092971,incongruency,0.0216234844657594
107321,dmfc.alt_R,0.00485577268915492,diagonal,-0.0220759336098407
107321,dpm_L,-0.0102647596253283,distractor,-0.00134962743675226
107321,dpm_L,0.00763822103434648,target,0.00549384258542102
107321,dpm_L,0.0255800332604026,congruency,0.0343756582706031
107321,dpm_L,-0.0441336236766076,incongruency,0.00637772716696216
107321,dpm_L,-0.00536222488004115,diagonal,-0.0249421625034953
107321,dpm_R,-0.0268899513150443,distractor,0.000611629382710555
107321,dpm_R,0.0188217836177333,target,0.0198480110869455
107321,dpm_R,0.0115138617006809,congruency,-0.00470631509554266
107321,dpm_R,-0.0622781916432518,incongruency,0.078478600675514
107321,dpm_R,0.0219996319826907,diagonal,-0.0332004490749834
107321,evis,-0.00281979181489875,distractor,0.00204581648587636
107321,evis,0.0206503457453347,target,0.00911308509670572
107321,evis,0.0142360650901816,congruency,0.0315406112440958
107321,evis,-0.066758742243871,incongruency,0.0793676414974076
107321,evis,0.00552412467953081,diagonal,-0.0220663697692193
107321,fpc_L,0.0348854972854627,distractor,-0.0152827715894633
107321,fpc_L,0.0259765428216456,target,0.0167656089584236
107321,fpc_L,0.0337239554503853,congruency,-0.00639981263063912
107321,fpc_L,-0.0470393685181699,incongruency,0.0395715215162114
107321,fpc_L,-0.0420695556462284,diagonal,0.0250912460406446
107321,fpc_R,0.0318883299712585,distractor,-0.0287980764727517
107321,fpc_R,0.0122083467862161,target,-0.0191430582006594
107321,fpc_R,0.00580436996535407,congruency,-0.0261608786720894
107321,fpc_R,-0.0480508733420612,incongruency,-0.013973667197549
107321,fpc_R,-0.026297617783302,diagonal,0.0346840012461797
107321,ifc_L,0.0484181265045072,distractor,-0.0191141875663719
107321,ifc_L,0.0170923103501202,target,0.000121795230262595
107321,ifc_L,0.014524814024397,congruency,0.0242192754549859
107321,ifc_L,-0.033291840797578,incongruency,0.0139143714766625
107321,ifc_L,-0.0329671326860034,diagonal,-0.0140620123900411
107321,ifc_R,0.0219768804064931,distractor,-0.0164387864507208
107321,ifc_R,0.0181668954582568,target,-0.0119137698306125
107321,ifc_R,-0.0103385360839285,congruency,-0.0450976013367267
107321,ifc_R,-0.037593650181446,incongruency,0.0164084491335114
107321,ifc_R,-0.0232014912487559,diagonal,0.0299622027313149
107321,ins_L,-0.00231604259225762,distractor,0.00248025614794685
107321,ins_L,0.0263944049672731,target,0.0396038896053428
107321,ins_L,-0.0141874884582111,congruency,-0.0055067065501613
107321,ins_L,0.0129333227900465,incongruency,0.00740320568892121
