subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
197449,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0438286909070902,-0.105599112320989
197449,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0325689431491883,0.0975962306478224
203418,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0484575057225672,0.12671017852445
203418,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0129833042799993,-0.0339496797993438
203418,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.021223900265894,-0.0690244974856762
204319,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0114446345043061,0.0232158466073155
204319,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.0768747853824467,0.155943226036418
204319,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0383251137288122,0.0966926940263308
233326,FALSE,Auditory_l,Auditory,l,tdi,z,target,0.0118107051065777,0.0342816023204794
233326,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,-0.00610642728506915,-0.017724438117507
233326,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0590592729427721,-0.213206771126519
300618,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0563387037819673,0.178537062297917
300618,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.00402537805494328,-0.0127564023366492
300618,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.041266611412398,0.162647709832997
317332,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0138328132168907,0.0478265088612963
317332,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0123819314788185,-0.0428101316996443
317332,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.0238130413549251,0.102400162084647
346945,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.0301323531616554,0.106158131679726
346945,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,0.00836314412372901,0.0294638706237226
346945,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.00237807648120959,0.0104201422047272
352738,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.00523528140416345,0.0125425174639393
352738,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.003507401955818,-0.00840291989823439
352738,TRUE,Auditory_l,Auditory,l,tdi,z,incongruency,0.111933042893145,0.333526698325522
393550,FALSE,Auditory_l,Auditory,l,tdi,z,target,-0.0103961237876289,-0.0357863086982897
393550,FALSE,Auditory_l,Auditory,l,tdi,z,distractor,0.000730731999191939,0.00251537990822369
393550,FALSE,Auditory_l,Auditory,l,tdi,z,incongruency,-0.0305433452923351,-0.130764444751898
448347,TRUE,Auditory_l,Auditory,l,tdi,z,target,0.067405085766007,0.153426173569753
448347,TRUE,Auditory_l,Auditory,l,tdi,z,distractor,-0.0219375949319556,-0.0499339361338007
