subj,roi,betas,param
107321,vpm_L,-0.00305822334503181,target
107321,vpm_L,0.0127390158076529,congruency
107321,vpm_L,0.0131648879521891,incongruency
107321,vpm_L,0.0208722781355616,diagonal
107321,vpm_R,0.0036556895622279,distractor
107321,vpm_R,-0.0040762954421335,target
107321,vpm_R,-0.0425332039708458,congruency
107321,vpm_R,0.0297814876130974,incongruency
107321,vpm_R,0.0170968717152636,diagonal
107321,vvis_L,-0.000238344878737815,distractor
107321,vvis_L,0.00352343988721298,target
107321,vvis_L,0.0731584605488543,congruency
107321,vvis_L,-0.0818667824814128,incongruency
107321,vvis_L,0.0151509860175818,diagonal
107321,vvis_R,-0.00936308300733966,distractor
107321,vvis_R,-0.00614865834909089,target
107321,vvis_R,-0.00173933246935825,congruency
107321,vvis_R,0.0148481988638625,incongruency
107321,vvis_R,0.00802048748256228,diagonal
107321,vwfa,-0.00229279216634561,distractor
107321,vwfa,0.0170998402054806,target
107321,vwfa,0.00918178169649452,congruency
107321,vwfa,-0.0199486526219827,incongruency
107321,vwfa,0.0181246436624695,diagonal
115825,aud,-0.000345723327516223,distractor
115825,aud,-0.0200631296184851,target
115825,aud,0.0153507141825015,congruency
115825,aud,-0.0192644283773216,incongruency
115825,aud,0.00553256562490016,diagonal
115825,dlpfc_L,-0.00889425499231626,distractor
115825,dlpfc_L,0.014654843980202,target
115825,dlpfc_L,-0.0258792081532619,congruency
115825,dlpfc_L,0.024985043098937,incongruency
115825,dlpfc_L,0.00536715497129068,diagonal
115825,dlpfc_R,0.0120360360607137,distractor
115825,dlpfc_R,-0.00638616732445885,target
115825,dlpfc_R,-0.00417570260484581,congruency
115825,dlpfc_R,0.0215763515491095,incongruency
115825,dlpfc_R,-0.0112238155644711,diagonal
115825,dlpfc.alt_L,-0.00988659905426641,distractor
115825,dlpfc.alt_L,0.00558117549549134,target
115825,dlpfc.alt_L,-0.0291352359729426,congruency
115825,dlpfc.alt_L,0.0130848803408985,incongruency
115825,dlpfc.alt_L,0.00643131231505179,diagonal
115825,dlpfc.alt_R,0.0123404638441104,distractor
115825,dlpfc.alt_R,-0.00606007575503783,target
115825,dlpfc.alt_R,-0.00102097341409475,congruency
115825,dlpfc.alt_R,0.0142149987592013,incongruency
115825,dlpfc.alt_R,-0.0139089793961179,diagonal
115825,dmfc_L,0.0148435179436468,distractor
115825,dmfc_L,0.00439738405361418,target
115825,dmfc_L,0.00371070408884411,congruency
115825,dmfc_L,-0.00482819029554946,incongruency
115825,dmfc_L,-0.000215402506650138,diagonal
115825,dmfc_R,0.0038640274743259,distractor
115825,dmfc_R,-0.00492078059229994,target
115825,dmfc_R,-0.0389569286551739,congruency
115825,dmfc_R,0.060435805509283,incongruency
115825,dmfc_R,0.00576957211032299,diagonal
115825,dmfc.alt_L,0.0131977599775361,distractor
115825,dmfc.alt_L,0.00614469178634575,target
115825,dmfc.alt_L,0.00929063708518214,congruency
115825,dmfc.alt_L,-0.00884051064889988,incongruency
115825,dmfc.alt_L,-0.00075967009253485,diagonal
115825,dmfc.alt_R,0.00774908496599736,distractor
115825,dmfc.alt_R,-0.0102692964478833,target
115825,dmfc.alt_R,-0.0272435352949673,congruency
115825,dmfc.alt_R,0.0521905113393748,incongruency
115825,dmfc.alt_R,0.00319754313425036,diagonal
115825,dpm_L,0.00983703209727629,distractor
115825,dpm_L,0.0248457358872173,target
115825,dpm_L,-0.00966848298747839,congruency
115825,dpm_L,0.0136468132401102,incongruency
115825,dpm_L,-0.0277170173335416,diagonal
115825,dpm_R,0.000202070301800188,distractor
115825,dpm_R,0.00696174028597198,target
115825,dpm_R,-0.00943484536938245,congruency
115825,dpm_R,-0.000949208010580126,incongruency
115825,dpm_R,-0.0209644993164271,diagonal
115825,evis,0.0204675384391706,distractor
115825,evis,0.0132923252381018,target
115825,evis,0.00577631462340288,congruency
115825,evis,-0.0103134172957369,incongruency
115825,evis,-0.0164750709724133,diagonal
115825,fpc_L,-0.00101563400925721,distractor
115825,fpc_L,-0.0153114137153998,target
115825,fpc_L,0.00388504349653302,congruency
115825,fpc_L,-0.0356974457783452,incongruency
115825,fpc_L,-0.0155951243752662,diagonal
115825,fpc_R,0.00269115801030645,distractor
115825,fpc_R,-0.00272722283740693,target
115825,fpc_R,0.0169460704354298,congruency
115825,fpc_R,-0.0175582617218908,incongruency
115825,fpc_R,-0.0278551297463383,diagonal
115825,ifc_L,0.00881649914936357,distractor
115825,ifc_L,-0.0150257185550982,target
115825,ifc_L,-0.00683287779859543,congruency
115825,ifc_L,-0.0125658014739347,incongruency
115825,ifc_L,-0.0172915331259116,diagonal
115825,ifc_R,0.0200557094866435,distractor
115825,ifc_R,0.000654611062904541,target
115825,ifc_R,0.0261135789467642,congruency
115825,ifc_R,-0.0544705545506164,incongruency
115825,ifc_R,-0.0117901108765562,diagonal
115825,ins_L,-0.0100664117264193,distractor
115825,ins_L,-0.0112872273042252,target
115825,ins_L,0.0354069213915565,congruency
115825,ins_L,-0.0380752539613644,incongruency
115825,ins_L,-0.00182456012555328,diagonal
115825,ins_R,-0.0103195206987685,distractor
115825,ins_R,0.00140730124148232,target
115825,ins_R,-0.0123786598166091,congruency
115825,ins_R,0.0343664543747894,incongruency
115825,ins_R,-0.00235000812613079,diagonal
115825,lppc_L,-0.0120380926962208,distractor
115825,lppc_L,-0.00557904239582702,target
115825,lppc_L,-0.0290089614748051,congruency
115825,lppc_L,0.00562605505532936,incongruency
115825,lppc_L,8.29990091209157e-05,diagonal
115825,lppc_R,0.00132160155328914,distractor
115825,lppc_R,0.00153709330203796,target
115825,lppc_R,-0.0299678862320477,congruency
115825,lppc_R,0.040166818138281,incongruency
115825,lppc_R,-0.0121000550315949,diagonal
115825,ofc_L,0.0266853886930501,distractor
115825,ofc_L,0.0104097086435794,target
115825,ofc_L,0.0186114998682661,congruency
115825,ofc_L,0.0257453948226827,incongruency
115825,ofc_L,-0.0303341501490596,diagonal
115825,ofc_R,-0.00608242621357715,distractor
115825,ofc_R,-0.0246062280860129,target
115825,ofc_R,0.0582762801494193,congruency
115825,ofc_R,-0.0851758385489793,incongruency
115825,ofc_R,-0.0114854498202097,diagonal
115825,smmouth,-0.000633399871339985,distractor
115825,smmouth,-0.0179686557298195,target
115825,smmouth,-0.00896331535782529,congruency
115825,smmouth,0.0214010144884296,incongruency
115825,smmouth,0.00800759853826066,diagonal
115825,V1,0.00357923276034318,distractor
115825,V1,0.0171720992450883,target
115825,V1,-0.0095525487548939,congruency
115825,V1,-0.0127288449745903,incongruency
115825,V1,-0.0128951972191785,diagonal
115825,vpm_L,-0.00263103448406002,distractor
115825,vpm_L,-0.00367739604524996,target
115825,vpm_L,-0.0306852016288614,congruency
115825,vpm_L,0.0382641873352404,incongruency
115825,vpm_L,0.00771533823506587,diagonal
115825,vpm_R,0.0014781860403214,distractor
115825,vpm_R,-0.0225975253736164,target
115825,vpm_R,-0.027276016533265,congruency
115825,vpm_R,0.0611988090211948,incongruency
115825,vpm_R,-0.00632094613595674,diagonal
115825,vvis_L,0.00076273276281538,distractor
115825,vvis_L,0.00484282687100056,target
115825,vvis_L,0.00598161942688625,congruency
115825,vvis_L,0.0255865935102965,incongruency
115825,vvis_L,-0.00135707113625034,diagonal
115825,vvis_R,-0.00617003055406998,distractor
115825,vvis_R,-0.00262649317041436,target
115825,vvis_R,-0.00626549306930238,congruency
115825,vvis_R,0.00229947078701847,incongruency
115825,vvis_R,0.012490847734328,diagonal
115825,vwfa,-0.0072285823383177,distractor
115825,vwfa,0.00641558792501356,target
115825,vwfa,-0.0228537530863654,congruency
115825,vwfa,0.0767604075130679,incongruency
115825,vwfa,0.0060152716828994,diagonal
123117,aud,-0.00377431779404982,distractor
123117,aud,-0.00733055191965601,target
123117,aud,-0.0471240775542238,congruency
123117,aud,0.0929328860882325,incongruency
123117,aud,0.0131094899747952,diagonal
123117,dlpfc_L,9.97893843734641e-05,distractor
123117,dlpfc_L,0.0252135206255423,target
123117,dlpfc_L,-0.0579197717282281,congruency
123117,dlpfc_L,0.0776272827230918,incongruency
123117,dlpfc_L,0.00568562901596465,diagonal
123117,dlpfc_R,0.00341366493299969,distractor
123117,dlpfc_R,-0.00992089439657296,target
123117,dlpfc_R,-0.0558927526025148,congruency
123117,dlpfc_R,0.108944261735865,incongruency
123117,dlpfc_R,0.0256457098688313,diagonal
123117,dlpfc.alt_L,0.00804337681425836,distractor
123117,dlpfc.alt_L,0.0402939945247352,target
123117,dlpfc.alt_L,-0.0563714508146424,congruency
123117,dlpfc.alt_L,0.0568346748414359,incongruency
123117,dlpfc.alt_L,-0.00490279607618366,diagonal
123117,dlpfc.alt_R,-0.00338002631867434,distractor
123117,dlpfc.alt_R,-0.00785921025979323,target
123117,dlpfc.alt_R,-0.0554737835997859,congruency
123117,dlpfc.alt_R,0.113837924467508,incongruency
123117,dlpfc.alt_R,0.030247704264047,diagonal
123117,dmfc_L,-0.00142179880880486,distractor
123117,dmfc_L,0.0209003266704805,target
123117,dmfc_L,-0.0251471729539727,congruency
123117,dmfc_L,0.0477554048933547,incongruency
123117,dmfc_L,0.0024503396425236,diagonal
123117,dmfc_R,0.000826899851920271,distractor
123117,dmfc_R,0.0432704677297818,target
123117,dmfc_R,-0.0339678994866091,congruency
123117,dmfc_R,0.00915781934867829,incongruency
123117,dmfc_R,0.00354390459395692,diagonal
123117,dmfc.alt_L,0.00109044868364741,distractor
123117,dmfc.alt_L,0.0253515514552269,target
123117,dmfc.alt_L,-0.028518252477027,congruency
123117,dmfc.alt_L,0.055407700722125,incongruency
123117,dmfc.alt_L,-0.00342811893636831,diagonal
123117,dmfc.alt_R,0.00662280105483061,distractor
123117,dmfc.alt_R,0.0524132404672292,target
123117,dmfc.alt_R,-0.0405922794344436,congruency
123117,dmfc.alt_R,0.0407386803910849,incongruency
123117,dmfc.alt_R,-0.00150515633696916,diagonal
123117,dpm_L,-0.0037571637898805,distractor
123117,dpm_L,0.00684067155140446,target
123117,dpm_L,0.0298491211065509,congruency
123117,dpm_L,-0.0262821747474785,incongruency
123117,dpm_L,0.0300075977581795,diagonal
123117,dpm_R,-0.0110278467758177,distractor
123117,dpm_R,-0.0195819602775015,target
123117,dpm_R,0.000866427786506277,congruency
123117,dpm_R,-0.00360990719383475,incongruency
123117,dpm_R,0.030616052772214,diagonal
123117,evis,0.0258207716643158,distractor
123117,evis,0.0350142792993457,target
123117,evis,0.00826236075467533,congruency
123117,evis,0.00185886569481457,incongruency
123117,evis,-0.0104773976729045,diagonal
123117,fpc_L,-0.00627854143708004,distractor
123117,fpc_L,0.0424011986673868,target
123117,fpc_L,-0.0115348757138561,congruency
123117,fpc_L,0.0136351154899364,incongruency
123117,fpc_L,0.01990996629493,diagonal
123117,fpc_R,-0.0013096087290583,distractor
123117,fpc_R,0.00872270054879789,target
123117,fpc_R,-0.00378792706970074,congruency
123117,fpc_R,0.0152694027474716,incongruency
123117,fpc_R,0.0118835324694817,diagonal
123117,ifc_L,-0.0150361671962938,distractor
123117,ifc_L,0.0457203944509353,target
123117,ifc_L,0.00276917173441747,congruency
123117,ifc_L,-0.0436739121134925,incongruency
123117,ifc_L,0.0354681896984219,diagonal
123117,ifc_R,-0.00111108746321579,distractor
123117,ifc_R,0.0171639798062431,target
123117,ifc_R,0.0386989877383751,congruency
123117,ifc_R,-0.0836555981806792,incongruency
123117,ifc_R,0.0198615072036911,diagonal
123117,ins_L,0.00767388726403934,distractor
123117,ins_L,0.0619340777149439,target
123117,ins_L,-0.0262818444849832,congruency
123117,ins_L,0.0250346520791259,incongruency
123117,ins_L,-0.00935319006432764,diagonal
123117,ins_R,0.0205706561055406,distractor
123117,ins_R,0.0432254669025863,target
123117,ins_R,-0.0234744460367665,congruency
123117,ins_R,0.0290672538041022,incongruency
123117,ins_R,-0.0030495976958581,diagonal
123117,lppc_L,-0.0253711131757267,distractor
123117,lppc_L,-0.0133828420839927,target
123117,lppc_L,-0.019568188847234,congruency
123117,lppc_L,-0.00645754642722738,incongruency
123117,lppc_L,0.0227973109520597,diagonal
123117,lppc_R,0.00216995132038998,distractor
123117,lppc_R,-0.00287813784753025,target
123117,lppc_R,-0.00142920698087078,congruency
123117,lppc_R,-0.030912857789377,incongruency
123117,lppc_R,0.00031964519452225,diagonal
123117,ofc_L,-0.0011924071726012,distractor
123117,ofc_L,0.0082351896431423,target
123117,ofc_L,0.0297612991701109,congruency
123117,ofc_L,-0.0309762564582977,incongruency
123117,ofc_L,0.0255584530050751,diagonal
123117,ofc_R,0.000229904493316829,distractor
123117,ofc_R,-0.0203043753389153,target
123117,ofc_R,-0.0153745066124912,congruency
123117,ofc_R,0.0193295438663777,incongruency
123117,ofc_R,0.0236420530076085,diagonal
123117,smmouth,-0.00728616269171462,distractor
123117,smmouth,-0.00354694104434841,target
123117,smmouth,-0.0439626583002608,congruency
123117,smmouth,0.0845029680751589,incongruency
123117,smmouth,0.0215489564755038,diagonal
123117,V1,0.0355208790275765,distractor
123117,V1,0.0267406287932043,target
123117,V1,-0.0200676785747769,congruency
123117,V1,0.0324254840114302,incongruency
123117,V1,-0.00600909478072268,diagonal
123117,vpm_L,-0.00660463649765236,distractor
123117,vpm_L,0.0106704287387008,target
123117,vpm_L,-0.0275359990213544,congruency
123117,vpm_L,0.0270847651560904,incongruency
123117,vpm_L,0.0256787594803965,diagonal
123117,vpm_R,-0.00308206614284828,distractor
123117,vpm_R,-0.00490544234892481,target
123117,vpm_R,-0.0174639249804444,congruency
123117,vpm_R,0.0485479072593973,incongruency
123117,vpm_R,0.018397151511323,diagonal
123117,vvis_L,-0.00242735865594636,distractor
123117,vvis_L,-0.0302579845715427,target
123117,vvis_L,-0.0298427008980614,congruency
123117,vvis_L,0.0651702398894012,incongruency
123117,vvis_L,0.0044322374190863,diagonal
123117,vvis_R,0.00630052099312986,distractor
123117,vvis_R,0.0196372756886914,target
123117,vvis_R,-0.00888204352819182,congruency
123117,vvis_R,-0.0055048435923926,incongruency
123117,vvis_R,-0.000830282920688729,diagonal
123117,vwfa,0.0084819004195099,distractor
123117,vwfa,0.000412620341157452,target
123117,vwfa,-0.0222292399131046,congruency
123117,vwfa,0.0600532385446302,incongruency
123117,vwfa,-0.00560569093241856,diagonal
130114,aud,-0.00909818653379499,distractor
130114,aud,0.00303700275234277,target
130114,aud,-0.0360874913826795,congruency
130114,aud,0.0445184246748483,incongruency
130114,aud,0.0350831033515597,diagonal
130114,dlpfc_L,0.00488632590306372,distractor
130114,dlpfc_L,0.0235066664521151,target
130114,dlpfc_L,0.038381308324535,congruency
130114,dlpfc_L,-0.0422184018782544,incongruency
130114,dlpfc_L,-0.0182040938291518,diagonal
130114,dlpfc_R,-0.00315154050040663,distractor
130114,dlpfc_R,-0.0299207456355359,target
130114,dlpfc_R,-0.0088956671274646,congruency
130114,dlpfc_R,0.00777232468132088,incongruency
130114,dlpfc_R,0.00376325304131459,diagonal
130114,dlpfc.alt_L,0.0154893123101727,distractor
130114,dlpfc.alt_L,0.0197414514291045,target
130114,dlpfc.alt_L,0.0195855946965674,congruency
130114,dlpfc.alt_L,-0.0390957774554929,incongruency
130114,dlpfc.alt_L,0.000309838052658992,diagonal
130114,dlpfc.alt_R,-0.0036278952385399,distractor
130114,dlpfc.alt_R,-0.0193087781936322,target
130114,dlpfc.alt_R,0.00830356587197312,congruency
130114,dlpfc.alt_R,-0.0472134293033729,incongruency
130114,dlpfc.alt_R,0.0160722300487796,diagonal
130114,dmfc_L,-0.013719628138529,distractor
130114,dmfc_L,0.0025805924234202,target
130114,dmfc_L,-0.0138650030434687,congruency
130114,dmfc_L,0.0505326328406508,incongruency
130114,dmfc_L,0.0163110808341991,diagonal
130114,dmfc_R,-0.0185880157548231,distractor
130114,dmfc_R,-0.0202708061148484,target
130114,dmfc_R,-0.00224928519047932,congruency
130114,dmfc_R,-0.000532388172488641,incongruency
130114,dmfc_R,0.0289654412328943,diagonal
130114,dmfc.alt_L,-0.00730457657836025,distractor
