subj,is.analysis.group,roi,param,taua
DMCC1596165,FALSE,vwfa,distractor,0.0103641456582633
DMCC1971064,TRUE,vwfa,distractor,-0.0658263305322129
DMCC2442951,TRUE,vwfa,distractor,-0.0106442577030812
DMCC2803654,FALSE,vwfa,distractor,0.00476190476190476
DMCC2834766,FALSE,vwfa,distractor,-0.0420168067226891
DMCC3062542,TRUE,vwfa,distractor,-0.00700280112044818
DMCC4191255,FALSE,vwfa,distractor,-0.0131652661064426
DMCC4260551,FALSE,vwfa,distractor,0.0955182072829132
DMCC4854075,TRUE,vwfa,distractor,0.0207282913165266
DMCC5009144,TRUE,vwfa,distractor,-0.0338935574229692
DMCC5195268,FALSE,vwfa,distractor,0.00560224089635854
DMCC5775387,FALSE,vwfa,distractor,0.0274509803921569
DMCC6371570,FALSE,vwfa,distractor,0.0705882352941176
DMCC6418065,TRUE,vwfa,distractor,0.0697478991596639
DMCC6484785,TRUE,vwfa,distractor,0.0235294117647059
DMCC6661074,TRUE,vwfa,distractor,0.0249299719887955
DMCC6671683,TRUE,vwfa,distractor,-0.00784313725490196
DMCC6705371,FALSE,vwfa,distractor,0.0442577030812325
DMCC6721369,TRUE,vwfa,distractor,-0.0142857142857143
DMCC6904377,FALSE,vwfa,distractor,-0.0117647058823529
DMCC7297690,TRUE,vwfa,distractor,0.0372549019607843
DMCC7921988,TRUE,vwfa,distractor,-0.0162464985994398
DMCC8033964,TRUE,vwfa,distractor,-0.0218487394957983
DMCC8050964,TRUE,vwfa,distractor,-0.0184873949579832
DMCC8078683,FALSE,vwfa,distractor,0.034733893557423
DMCC9441378,TRUE,vwfa,distractor,-0.0221288515406162
DMCC9478705,TRUE,vwfa,distractor,-0.0120448179271709
DMCC9953810,TRUE,vwfa,distractor,-0.00980392156862745
107321,TRUE,vwfa,congruency,0.0613445378151261
115825,FALSE,vwfa,congruency,-0.0487394957983193
123117,TRUE,vwfa,congruency,0.0675070028011205
130114,TRUE,vwfa,congruency,0.02296918767507
130518,FALSE,vwfa,congruency,-0.0448179271708684
132017,TRUE,vwfa,congruency,-0.0106442577030812
138837,TRUE,vwfa,congruency,-0.0235294117647059
141422,TRUE,vwfa,congruency,0.0187675070028011
150423,TRUE,vwfa,congruency,0.0397759103641457
158136,TRUE,vwfa,congruency,0.0442577030812325
160830,TRUE,vwfa,congruency,0.0218487394957983
161832,TRUE,vwfa,congruency,-0.019327731092437
165032,TRUE,vwfa,congruency,-0.0218487394957983
171330,TRUE,vwfa,congruency,-0.0218487394957983
178243,TRUE,vwfa,congruency,0.00448179271708684
178647,FALSE,vwfa,congruency,0.0176470588235294
178950,TRUE,vwfa,congruency,-0.00392156862745098
