subj,is.analysis.group,roi.hemi,roi,hemi,model,y,param,coef,beta
197449,TRUE,Auditory_l,Auditory,l,tdclust,z,target,-0.0112937943418593,-0.0272108208699254
197449,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0428411651512484,-0.103219806869406
197449,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0222096261096452,0.0655373150734196
203418,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0486616232790599,0.127243919822883
203418,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0127791867235066,-0.0334159385009114
203418,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.00938724479399117,-0.0300631317310143
204319,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0109057131595859,0.0221226255640638
204319,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.0763358640377265,0.154850004993166
204319,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.015929028796085,0.0395746903019184
233326,FALSE,Auditory_l,Auditory,l,tdclust,z,target,0.00999170183655636,0.0290017865804527
233326,FALSE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.00792543055509045,-0.0230042538575338
233326,FALSE,Auditory_l,Auditory,l,tdclust,z,conclust,-0.0404436560915141,-0.143774320876352
300618,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0581107115863648,0.184152545909156
300618,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0022533702505458,-0.00714091872540971
300618,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.0312653525325841,0.121347404950364
317332,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0131634438688767,0.0455121857693614
317332,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,-0.0130513008268325,-0.0451244547915793
317332,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.00789030458937835,0.0334116224845555
346945,TRUE,Auditory_l,Auditory,l,tdclust,z,target,0.0311488476022433,0.109739304052714
346945,TRUE,Auditory_l,Auditory,l,tdclust,z,distractor,0.00937963856431689,0.0330450429967106
346945,TRUE,Auditory_l,Auditory,l,tdclust,z,conclust,0.00728800488413211,0.031446658345104
