subj,is.analysis.group,roi,model,y,param,coef,beta
233326,FALSE,auditory_L,tdic,r,congruency,0.0297407864939122,0.119163601988702
300618,TRUE,auditory_L,tdic,r,target,0.0239864494428967,0.180574155409343
300618,TRUE,auditory_L,tdic,r,distractor,-0.00129776690473376,-0.00976981454876561
300618,TRUE,auditory_L,tdic,r,incongruency,0.0189329708480796,0.177270309023484
300618,TRUE,auditory_L,tdic,r,congruency,-0.015276928964245,-0.0626631897413315
317332,TRUE,auditory_L,tdic,r,target,0.00329334963549827,0.0334223597073762
317332,TRUE,auditory_L,tdic,r,distractor,-0.00777388413837872,-0.0788927932812842
317332,TRUE,auditory_L,tdic,r,incongruency,0.00378106807475183,0.0477244988013375
317332,TRUE,auditory_L,tdic,r,congruency,-0.0256880317852419,-0.142042043850864
346945,TRUE,auditory_L,tdic,r,target,0.00647251681498347,0.100418877718061
346945,TRUE,auditory_L,tdic,r,distractor,0.00286556609005769,0.0444582747354777
346945,TRUE,auditory_L,tdic,r,incongruency,0.000860338260278299,0.0166011824762909
346945,TRUE,auditory_L,tdic,r,congruency,0.00677011634966803,0.0572301813299134
352738,TRUE,auditory_L,tdic,r,target,0.00108101884251689,0.00389367491902094
352738,TRUE,auditory_L,tdic,r,distractor,-0.00262592758948775,-0.00945821478055685
352738,TRUE,auditory_L,tdic,r,incongruency,0.070298676388666,0.314920682577713
352738,TRUE,auditory_L,tdic,r,congruency,-0.00113524876519439,-0.00222794403541807
393550,FALSE,auditory_L,tdic,r,target,-0.001422779648181,-0.0326882835250515
393550,FALSE,auditory_L,tdic,r,distractor,0.00146637938429222,0.033689985044641
393550,FALSE,auditory_L,tdic,r,incongruency,-0.00443964705858094,-0.1268617004351
393550,FALSE,auditory_L,tdic,r,congruency,0.00527722999219452,0.0660613291464638
448347,TRUE,auditory_L,tdic,r,target,0.0330290355252589,0.117513557461238
448347,TRUE,auditory_L,tdic,r,distractor,-0.0173980986630503,-0.0619004592305794
448347,TRUE,auditory_L,tdic,r,incongruency,0.00894366150177647,0.0395762869000747
448347,TRUE,auditory_L,tdic,r,congruency,-0.0611855240238416,-0.118611713263356
580650,TRUE,auditory_L,tdic,r,target,0.00574019536477236,0.019022703598973
580650,TRUE,auditory_L,tdic,r,distractor,0.0421785816509694,0.139777586995646
580650,TRUE,auditory_L,tdic,r,incongruency,0.00257409086491912,0.0106095521296707
580650,TRUE,auditory_L,tdic,r,congruency,-0.00643933121676919,-0.0116271465157488
594156,TRUE,auditory_L,tdic,r,target,0.00564318414707156,0.0555285633401535
594156,TRUE,auditory_L,tdic,r,distractor,0.00465555350037126,0.0458103422981495
594156,TRUE,auditory_L,tdic,r,incongruency,0.0264933999222041,0.324233228432945
594156,TRUE,auditory_L,tdic,r,congruency,-0.0206177471485343,-0.110540197902588
601127,TRUE,auditory_L,tdic,r,target,0.0181650051864312,0.0801305011868302
601127,TRUE,auditory_L,tdic,r,distractor,-0.0213507552700933,-0.0941836626497567
601127,TRUE,auditory_L,tdic,r,incongruency,-0.0365606137807695,-0.200587294773474
601127,TRUE,auditory_L,tdic,r,congruency,0.080101533077909,0.192526260112913
765864,TRUE,auditory_L,tdic,r,target,0.00375072665944486,0.124319898683765
765864,TRUE,auditory_L,tdic,r,distractor,-0.00171291919758843,-0.0567756492095764
765864,TRUE,auditory_L,tdic,r,incongruency,0.00472255821188955,0.194683955905063
765864,TRUE,auditory_L,tdic,r,congruency,-0.0131921135387456,-0.238246443387461
814649,TRUE,auditory_L,tdic,r,target,0.00594204068254591,0.0299849678669928
