subj,is.analysis.group,roi.hemi,roi,hemi,param,taua
161832,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.0294117647058824
165032,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0061624649859944
171330,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.0641456582633053
178243,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0756302521008403
178647,FALSE,CinguloOperc_l,CinguloOperc,l,target,-0.026890756302521
178950,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0798319327731092
182436,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.0092436974789916
197449,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.000560224089635854
203418,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0414565826330532
204319,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.0215686274509804
233326,FALSE,CinguloOperc_l,CinguloOperc,l,target,0.0672268907563025
300618,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0123249299719888
317332,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0246498599439776
346945,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0638655462184874
352738,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0156862745098039
393550,FALSE,CinguloOperc_l,CinguloOperc,l,target,-0.0151260504201681
448347,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.105042016806723
580650,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0294117647058824
594156,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.00672268907563025
601127,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0599439775910364
765864,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.084593837535014
814649,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.00392156862745098
843151,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0843137254901961
849971,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.00532212885154062
873968,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0313725490196078
877168,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0341736694677871
DMCC1328342,FALSE,CinguloOperc_l,CinguloOperc,l,target,0.0478991596638656
DMCC1596165,FALSE,CinguloOperc_l,CinguloOperc,l,target,-0.0490196078431373
DMCC1971064,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.00252100840336135
DMCC2442951,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0134453781512605
DMCC2803654,FALSE,CinguloOperc_l,CinguloOperc,l,target,0.046218487394958
DMCC2834766,FALSE,CinguloOperc_l,CinguloOperc,l,target,-0.000840336134453782
DMCC3062542,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0495798319327731
DMCC4191255,FALSE,CinguloOperc_l,CinguloOperc,l,target,0.0282913165266106
DMCC4260551,FALSE,CinguloOperc_l,CinguloOperc,l,target,-0.0439775910364146
DMCC4854075,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0263305322128852
DMCC5009144,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.00896358543417367
DMCC5195268,FALSE,CinguloOperc_l,CinguloOperc,l,target,0.0736694677871149
DMCC5775387,FALSE,CinguloOperc_l,CinguloOperc,l,target,-0.00196078431372549
DMCC6371570,FALSE,CinguloOperc_l,CinguloOperc,l,target,-0.0126050420168067
DMCC6418065,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0322128851540616
DMCC6484785,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0131652661064426
DMCC6661074,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0182072829131653
DMCC6671683,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0240896358543417
DMCC6705371,FALSE,CinguloOperc_l,CinguloOperc,l,target,-0.00644257703081232
DMCC6721369,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.0123249299719888
DMCC6904377,FALSE,CinguloOperc_l,CinguloOperc,l,target,-0.0030812324929972
DMCC7297690,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0182072829131653
DMCC7921988,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0176470588235294
DMCC8033964,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0829131652661064
DMCC8050964,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0341736694677871
DMCC8078683,FALSE,CinguloOperc_l,CinguloOperc,l,target,0.0431372549019608
DMCC9441378,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.00700280112044818
DMCC9478705,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.0316526610644258
DMCC9953810,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.023249299719888
107321,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0543417366946779
115825,FALSE,CinguloParietal_l,CinguloParietal,l,target,0.0358543417366947
123117,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.00252100840336135
130114,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0565826330532213
130518,FALSE,CinguloParietal_l,CinguloParietal,l,target,0.0495798319327731
132017,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0196078431372549
138837,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0428571428571429
141422,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0389355742296919
150423,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.00896358543417367
158136,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0061624649859944
160830,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0549019607843137
161832,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.00728291316526611
165032,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0971988795518207
171330,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0179271708683473
178243,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0369747899159664
178647,FALSE,CinguloParietal_l,CinguloParietal,l,target,-0.0100840336134454
178950,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0658263305322129
182436,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0408963585434174
197449,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0131652661064426
203418,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0103641456582633
204319,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0123249299719888
233326,FALSE,CinguloParietal_l,CinguloParietal,l,target,0.0338935574229692
300618,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0355742296918768
317332,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0350140056022409
346945,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0473389355742297
352738,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.00784313725490196
393550,FALSE,CinguloParietal_l,CinguloParietal,l,target,0.0355742296918768
448347,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0826330532212885
580650,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0159663865546218
594156,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0442577030812325
601127,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0159663865546218
765864,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0378151260504202
814649,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.000280112044817927
843151,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0563025210084034
849971,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0739495798319328
873968,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.034453781512605
877168,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.00728291316526611
DMCC1328342,FALSE,CinguloParietal_l,CinguloParietal,l,target,0.0240896358543417
DMCC1596165,FALSE,CinguloParietal_l,CinguloParietal,l,target,-0.0221288515406162
DMCC1971064,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.000560224089635854
DMCC2442951,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0112044817927171
DMCC2803654,FALSE,CinguloParietal_l,CinguloParietal,l,target,0.00728291316526611
DMCC2834766,FALSE,CinguloParietal_l,CinguloParietal,l,target,-0.0663865546218487
DMCC3062542,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0092436974789916
DMCC4191255,FALSE,CinguloParietal_l,CinguloParietal,l,target,0.0123249299719888
DMCC4260551,FALSE,CinguloParietal_l,CinguloParietal,l,target,0.0585434173669468
DMCC4854075,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0285714285714286
DMCC5009144,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0137254901960784
DMCC5195268,FALSE,CinguloParietal_l,CinguloParietal,l,target,0.0397759103641457
DMCC5775387,FALSE,CinguloParietal_l,CinguloParietal,l,target,-0.0187675070028011
DMCC6371570,FALSE,CinguloParietal_l,CinguloParietal,l,target,-0.0484593837535014
DMCC6418065,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0352941176470588
DMCC6484785,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0355742296918768
DMCC6661074,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0280112044817927
DMCC6671683,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0372549019607843
DMCC6705371,FALSE,CinguloParietal_l,CinguloParietal,l,target,-0.00840336134453782
DMCC6721369,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.00336134453781513
DMCC6904377,FALSE,CinguloParietal_l,CinguloParietal,l,target,-0.0378151260504202
DMCC7297690,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.00448179271708684
DMCC7921988,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0280112044817927
DMCC8033964,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0831932773109244
DMCC8050964,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.00504201680672269
DMCC8078683,FALSE,CinguloParietal_l,CinguloParietal,l,target,-0.038655462184874
DMCC9441378,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0434173669467787
DMCC9478705,TRUE,CinguloParietal_l,CinguloParietal,l,target,0.0557422969187675
DMCC9953810,TRUE,CinguloParietal_l,CinguloParietal,l,target,-0.0246498599439776
107321,TRUE,Default_l,Default,l,target,0.0092436974789916
115825,FALSE,Default_l,Default,l,target,-0.0221288515406162
123117,TRUE,Default_l,Default,l,target,0.0103641456582633
130114,TRUE,Default_l,Default,l,target,-0.034733893557423
130518,FALSE,Default_l,Default,l,target,0.166386554621849
132017,TRUE,Default_l,Default,l,target,0.0288515406162465
138837,TRUE,Default_l,Default,l,target,0.019327731092437
141422,TRUE,Default_l,Default,l,target,0.0170868347338936
150423,TRUE,Default_l,Default,l,target,0.0235294117647059
158136,TRUE,Default_l,Default,l,target,0.00840336134453782
160830,TRUE,Default_l,Default,l,target,0.0792717086834734
161832,TRUE,Default_l,Default,l,target,0.0179271708683473
165032,TRUE,Default_l,Default,l,target,0.0134453781512605
171330,TRUE,Default_l,Default,l,target,-0.0221288515406162
178243,TRUE,Default_l,Default,l,target,0.0436974789915966
178647,FALSE,Default_l,Default,l,target,-0.0271708683473389
178950,TRUE,Default_l,Default,l,target,0.0450980392156863
182436,TRUE,Default_l,Default,l,target,0.0128851540616246
197449,TRUE,Default_l,Default,l,target,0.0450980392156863
203418,TRUE,Default_l,Default,l,target,-0.053781512605042
204319,TRUE,Default_l,Default,l,target,0.034733893557423
233326,FALSE,Default_l,Default,l,target,0.0207282913165266
300618,TRUE,Default_l,Default,l,target,0.0204481792717087
317332,TRUE,Default_l,Default,l,target,0.00980392156862745
346945,TRUE,Default_l,Default,l,target,0.0131652661064426
352738,TRUE,Default_l,Default,l,target,-0.0397759103641457
393550,FALSE,Default_l,Default,l,target,-0.0170868347338936
448347,TRUE,Default_l,Default,l,target,0.00504201680672269
580650,TRUE,Default_l,Default,l,target,0.0238095238095238
594156,TRUE,Default_l,Default,l,target,0.0182072829131653
601127,TRUE,Default_l,Default,l,target,0.00952380952380953
765864,TRUE,Default_l,Default,l,target,0.0187675070028011
814649,TRUE,Default_l,Default,l,target,0.0327731092436975
843151,TRUE,Default_l,Default,l,target,0.0352941176470588
849971,TRUE,Default_l,Default,l,target,-0.0168067226890756
873968,TRUE,Default_l,Default,l,target,-0.0123249299719888
877168,TRUE,Default_l,Default,l,target,0.150140056022409
DMCC1328342,FALSE,Default_l,Default,l,target,0.065546218487395
DMCC1596165,FALSE,Default_l,Default,l,target,-0.0523809523809524
DMCC1971064,TRUE,Default_l,Default,l,target,0.0535014005602241
DMCC2442951,TRUE,Default_l,Default,l,target,-0.00140056022408964
DMCC2803654,FALSE,Default_l,Default,l,target,0.00476190476190476
DMCC2834766,FALSE,Default_l,Default,l,target,0.0204481792717087
DMCC3062542,TRUE,Default_l,Default,l,target,0.00532212885154062
DMCC4191255,FALSE,Default_l,Default,l,target,-0.00504201680672269
DMCC4260551,FALSE,Default_l,Default,l,target,-0.0271708683473389
DMCC4854075,TRUE,Default_l,Default,l,target,-0.0128851540616246
DMCC5009144,TRUE,Default_l,Default,l,target,-0.00644257703081232
DMCC5195268,FALSE,Default_l,Default,l,target,0.092436974789916
DMCC5775387,FALSE,Default_l,Default,l,target,-0.011484593837535
DMCC6371570,FALSE,Default_l,Default,l,target,-0.0179271708683473
DMCC6418065,TRUE,Default_l,Default,l,target,-0.0134453781512605
DMCC6484785,TRUE,Default_l,Default,l,target,0.073109243697479
DMCC6661074,TRUE,Default_l,Default,l,target,-0.0369747899159664
DMCC6671683,TRUE,Default_l,Default,l,target,0.0394957983193277
DMCC6705371,FALSE,Default_l,Default,l,target,0.0666666666666667
