subj,is.analysis.group,roi,model,y,param,coef,beta,partr
107321,TRUE,anat_aud,tdic,r,target,0.00552307055265992,0.0463540368937742,0.0443069967661601
107321,TRUE,anat_aud,tdic,r,distractor,-0.00490435239934808,-0.0411612580161544,-0.0393517063271916
107321,TRUE,anat_aud,tdic,r,incongruency,-0.0030672807974364,-0.0320175515277303,-0.0308293013867354
107321,TRUE,anat_aud,tdic,r,congruency,0.0134029433015034,0.0612906129967678,0.0580969032473728
115825,FALSE,anat_aud,tdic,r,target,-0.00442067123200514,-0.0555924232974448,-0.0532322249505378
115825,FALSE,anat_aud,tdic,r,distractor,0.00342056967063126,0.0430155845273923,0.0412127792059723
115825,FALSE,anat_aud,tdic,r,incongruency,0.00204260181220525,0.0319476348056724,0.0308303191147346
115825,FALSE,anat_aud,tdic,r,congruency,-0.0118730140440083,-0.0813533016658267,-0.0771852979531602
123117,TRUE,anat_aud,tdic,r,target,0.00114421489322002,0.0173526618595488,0.0169759980466336
123117,TRUE,anat_aud,tdic,r,distractor,-0.00106526086715748,-0.0161552796852463,-0.0158049101769337
123117,TRUE,anat_aud,tdic,r,incongruency,-0.0110352865368776,-0.208146797051808,-0.200876109690829
123117,TRUE,anat_aud,tdic,r,congruency,0.00718740182746383,0.059390536294231,0.0575718048585211
130114,TRUE,anat_aud,tdic,r,target,0.00929252762392927,0.0380033760468024,0.0369535596766013
130114,TRUE,anat_aud,tdic,r,distractor,0.00968437595585336,0.0396059066083562,0.0385095572697615
130114,TRUE,anat_aud,tdic,r,incongruency,0.0311967739862264,0.15868125080848,0.153617709398342
130114,TRUE,anat_aud,tdic,r,congruency,-0.0406553653536184,-0.0905926575641115,-0.0871465381125246
130518,FALSE,anat_aud,tdic,r,target,0.000762229517527507,0.00543165132086772,0.00535476325667682
130518,FALSE,anat_aud,tdic,r,distractor,-0.010737841994772,-0.0765179152906098,-0.0752221182827682
130518,FALSE,anat_aud,tdic,r,incongruency,-0.0235050134660338,-0.208321567542784,-0.202501033156057
130518,FALSE,anat_aud,tdic,r,congruency,0.0239820918973731,0.0931150748007621,0.0907238868351711
132017,TRUE,anat_aud,tdic,r,target,0.0146608513960259,0.116255829660216,0.11273854304716
132017,TRUE,anat_aud,tdic,r,distractor,-0.00511504040546113,-0.0405606229828898,-0.0395548652554114
132017,TRUE,anat_aud,tdic,r,incongruency,-0.0179926364388216,-0.177450800600422,-0.171782749812451
132017,TRUE,anat_aud,tdic,r,congruency,-0.00900126281807738,-0.0388907039260323,-0.0376404637502423
138837,TRUE,anat_aud,tdic,r,target,0.0164202043174608,0.262149837260202,0.258638443214666
138837,TRUE,anat_aud,tdic,r,distractor,-0.000144417736666377,-0.00230564038257774,-0.00235487751921431
138837,TRUE,anat_aud,tdic,r,incongruency,0.00887000831637283,0.176125675995374,0.178222291554651
138837,TRUE,anat_aud,tdic,r,congruency,-0.014937586229824,-0.129938627309327,-0.130576087320629
141422,TRUE,anat_aud,tdic,r,target,0.00684951124727604,0.0772395850886156,0.0740288090484256
141422,TRUE,anat_aud,tdic,r,distractor,-0.00317523218278499,-0.0358060024291289,-0.034391646943784
141422,TRUE,anat_aud,tdic,r,incongruency,-0.000280559159677061,-0.00393488832653781,-0.00380762340414253
141422,TRUE,anat_aud,tdic,r,congruency,0.0174322910666855,0.107107931271305,0.101625613954772
