subj,is.analysis.group,roi,model,y,param,coef,beta
138837,TRUE,vwfa,continu,z,cielab,5.34686080302766e-06,0.123878299635365
138837,TRUE,vwfa,continu,z,tphono,-0.00369079387418105,-0.165541851710084
138837,TRUE,vwfa,continu,z,distractor,0.390972433996311,0.710983677382356
138837,TRUE,vwfa,continu,z,silhou,-0.328213799594658,-0.323501780195203
138837,TRUE,vwfa,continu,z,dphono,-0.00875390140534219,-0.392635594868982
138837,TRUE,vwfa,continu,z,incongruency,0.0255913807000841,0.0578808393282034
138837,TRUE,vwfa,continu,z,congruency,-0.0772063313609316,-0.0764985533409867
141422,TRUE,vwfa,continu,z,target,-0.390431478725695,-0.643843617872415
141422,TRUE,vwfa,continu,z,cielab,6.29693372822036e-06,0.132296257033245
141422,TRUE,vwfa,continu,z,tphono,0.0151651901400674,0.616819300651743
141422,TRUE,vwfa,continu,z,distractor,-0.101726221398086,-0.167752299663962
141422,TRUE,vwfa,continu,z,silhou,-0.146840650273252,-0.131246646115691
141422,TRUE,vwfa,continu,z,dphono,0.0060693750711992,0.246861902306064
141422,TRUE,vwfa,continu,z,incongruency,0.0419321446888464,0.086002337531821
141422,TRUE,vwfa,continu,z,congruency,0.111847142513954,0.100495652914873
150423,TRUE,vwfa,continu,z,target,0.0682766383907789,0.14258968975622
150423,TRUE,vwfa,continu,z,cielab,-3.14673328094118e-06,-0.0837257009511646
150423,TRUE,vwfa,continu,z,tphono,0.00111316250117309,0.0573388643229114
150423,TRUE,vwfa,continu,z,distractor,0.210025778219435,0.438620167350889
150423,TRUE,vwfa,continu,z,silhou,-0.543103647369576,-0.61475923114555
150423,TRUE,vwfa,continu,z,dphono,0.00530317695641403,0.273165996576209
150423,TRUE,vwfa,continu,z,incongruency,-0.023415963701709,-0.0608212918236212
150423,TRUE,vwfa,continu,z,congruency,0.118916801193335,0.135315026060633
158136,TRUE,vwfa,continu,z,target,0.276922247688734,0.397451623589541
158136,TRUE,vwfa,continu,z,cielab,-2.59764375492258e-05,-0.47499483090733
158136,TRUE,vwfa,continu,z,tphono,0.00319732740211417,0.113184788185674
158136,TRUE,vwfa,continu,z,distractor,-0.638867597730056,-0.916932337852378
158136,TRUE,vwfa,continu,z,silhou,1.7999338408005,1.40019755634437
158136,TRUE,vwfa,continu,z,dphono,-0.0121184218644971,-0.428989852891132
158136,TRUE,vwfa,continu,z,incongruency,-0.116657348968634,-0.208240952044152
158136,TRUE,vwfa,continu,z,congruency,0.186927709642617,0.146179652679532
160830,TRUE,vwfa,continu,z,target,-0.156427201621886,-0.230637448770002
160830,TRUE,vwfa,continu,z,cielab,4.56713783491362e-06,0.0857915536946158
160830,TRUE,vwfa,continu,z,tphono,0.00449615644910957,0.163505922835246
160830,TRUE,vwfa,continu,z,distractor,-0.991349318394523,-1.46165293033287
160830,TRUE,vwfa,continu,z,silhou,1.54796790004214,1.23704598904734
160830,TRUE,vwfa,continu,z,dphono,0.00743137916851614,0.270247381878248
160830,TRUE,vwfa,continu,z,incongruency,-0.0711356966408086,-0.130446595354741
160830,TRUE,vwfa,continu,z,congruency,0.0836900140629316,0.0672323054130928
161832,TRUE,vwfa,continu,z,target,-0.106667202080282,-0.199121609184987
161832,TRUE,vwfa,continu,z,cielab,-9.42537011310478e-06,-0.224165496988265
161832,TRUE,vwfa,continu,z,tphono,0.00967169477143065,0.445312203911253
161832,TRUE,vwfa,continu,z,distractor,-0.0877463981302833,-0.163801090261471
161832,TRUE,vwfa,continu,z,silhou,0.220452208219502,0.2230531130559
161832,TRUE,vwfa,continu,z,dphono,-0.00155137434727842,-0.071429666258559
161832,TRUE,vwfa,continu,z,incongruency,-0.00840780811303775,-0.0195208125693232
161832,TRUE,vwfa,continu,z,congruency,-0.0773341366144513,-0.078658479044494
165032,TRUE,vwfa,continu,z,target,0.0717860184200767,0.0754695104795192
165032,TRUE,vwfa,continu,z,cielab,-3.21246754008308e-05,-0.430282100592824
165032,TRUE,vwfa,continu,z,tphono,0.0105157081588812,0.272674620225634
165032,TRUE,vwfa,continu,z,distractor,0.858478950618436,0.902529316795593
165032,TRUE,vwfa,continu,z,silhou,-2.01476730326622,-1.14805556192532
165032,TRUE,vwfa,continu,z,dphono,0.0110109443351853,0.28551620295648
165032,TRUE,vwfa,continu,z,incongruency,0.0431741558616177,0.0564524938747026
165032,TRUE,vwfa,continu,z,congruency,-0.0394026032778937,-0.0225706151910873
171330,TRUE,vwfa,continu,z,target,-0.176896226781106,-0.331953977316424
171330,TRUE,vwfa,continu,z,cielab,1.24735309410203e-05,0.298216439556917
171330,TRUE,vwfa,continu,z,tphono,-0.00031057510199472,-0.0143747555779864
171330,TRUE,vwfa,continu,z,distractor,-0.202286256615474,-0.379599546365944
171330,TRUE,vwfa,continu,z,silhou,-0.0373546002071414,-0.0379935387001958
171330,TRUE,vwfa,continu,z,dphono,0.00865040742252301,0.400378174393626
171330,TRUE,vwfa,continu,z,incongruency,-0.0477909432657545,-0.111540482751031
171330,TRUE,vwfa,continu,z,congruency,-0.104235803564439,-0.106576889092516
178243,TRUE,vwfa,continu,z,target,-0.190148943230832,-0.49900540406632
178243,TRUE,vwfa,continu,z,cielab,9.67861697525004e-06,0.323599246099051
178243,TRUE,vwfa,continu,z,tphono,0.00521808082717654,0.33775101282902
178243,TRUE,vwfa,continu,z,distractor,-0.0674960449341475,-0.177128994792036
178243,TRUE,vwfa,continu,z,silhou,-0.0670139897839584,-0.0953198068351928
178243,TRUE,vwfa,continu,z,dphono,0.00411747542537808,0.266512064737897
178243,TRUE,vwfa,continu,z,incongruency,0.0177615916762086,0.057972339233734
178243,TRUE,vwfa,continu,z,congruency,0.0560617111092371,0.0801612526972383
178647,FALSE,vwfa,continu,z,target,0.383348677171863,0.775990623433694
178647,FALSE,vwfa,continu,z,cielab,-2.29836870424833e-05,-0.5927411373138
178647,FALSE,vwfa,continu,z,tphono,-0.00462010976577053,-0.230669048207263
178647,FALSE,vwfa,continu,z,distractor,0.241273807790037,0.488396657336826
178647,FALSE,vwfa,continu,z,silhou,-0.178619617974621,-0.195973796668328
178647,FALSE,vwfa,continu,z,dphono,-0.00670702587497328,-0.334862882770393
178647,FALSE,vwfa,continu,z,incongruency,-0.0513095167466103,-0.129177846199528
178647,FALSE,vwfa,continu,z,congruency,0.0414963822926315,0.0457677491149594
178950,TRUE,vwfa,continu,z,target,0.3211587055297,0.526931123698953
178950,TRUE,vwfa,continu,z,cielab,-4.8148093192967e-06,-0.100645905174841
178950,TRUE,vwfa,continu,z,tphono,-0.0107962159465302,-0.436898185091676
178950,TRUE,vwfa,continu,z,distractor,0.426406211930854,0.699612685368013
178950,TRUE,vwfa,continu,z,silhou,-0.835977899703985,-0.743421804288012
178950,TRUE,vwfa,continu,z,dphono,0.00326194295063247,0.132003376188666
178950,TRUE,vwfa,continu,z,incongruency,-0.0243659783226222,-0.0497216596441056
178950,TRUE,vwfa,continu,z,congruency,0.00807066584627274,0.00721490027221425
182436,TRUE,vwfa,continu,z,target,-0.146337690316247,-0.394654133951678
182436,TRUE,vwfa,continu,z,cielab,-5.11378711744683e-06,-0.175705748347315
182436,TRUE,vwfa,continu,z,tphono,0.00830273562208276,0.552276030482246
182436,TRUE,vwfa,continu,z,distractor,-0.0231420327056717,-0.0624111181173258
182436,TRUE,vwfa,continu,z,silhou,0.0971362597057781,0.141986868998128
182436,TRUE,vwfa,continu,z,dphono,-0.00147489163684747,-0.0981058937277413
182436,TRUE,vwfa,continu,z,incongruency,0.0174838565379661,0.0586442322127213
182436,TRUE,vwfa,continu,z,congruency,-0.0344888688923442,-0.0506787885786886
197449,TRUE,vwfa,continu,z,target,0.143432210215475,0.287681761668432
197449,TRUE,vwfa,continu,z,cielab,-7.56178162319087e-06,-0.193229146284502
197449,TRUE,vwfa,continu,z,tphono,-0.00248865557741437,-0.123113296384399
197449,TRUE,vwfa,continu,z,distractor,0.242802773022527,0.486989145437887
197449,TRUE,vwfa,continu,z,silhou,-0.404477024067555,-0.439709492638772
197449,TRUE,vwfa,continu,z,dphono,-0.00333997063852044,-0.165227683118201
197449,TRUE,vwfa,continu,z,incongruency,0.00824581419568539,0.0205696448653801
197449,TRUE,vwfa,continu,z,congruency,-0.0583306331875554,-0.0637454429243766
203418,TRUE,vwfa,continu,z,target,0.159010859959395,0.377131663461689
203418,TRUE,vwfa,continu,z,cielab,-2.99845318944332e-06,-0.090603786632456
203418,TRUE,vwfa,continu,z,tphono,-0.00418504285245977,-0.244816477538772
203418,TRUE,vwfa,continu,z,distractor,-0.203917619173257,-0.483638607750408
203418,TRUE,vwfa,continu,z,silhou,0.0533524830196821,0.0685846919469071
203418,TRUE,vwfa,continu,z,dphono,0.00809194239410807,0.473362138265283
203418,TRUE,vwfa,continu,z,incongruency,-0.0164153159104045,-0.0484220381754625
203418,TRUE,vwfa,continu,z,congruency,-0.0560729404044424,-0.072461338912112
204319,TRUE,vwfa,continu,z,target,0.440042644521001,0.626865300168682
204319,TRUE,vwfa,continu,z,cielab,1.04633043446738e-05,0.189902720852432
204319,TRUE,vwfa,continu,z,tphono,-0.0231647074795005,-0.813918294001909
204319,TRUE,vwfa,continu,z,distractor,1.13889578358159,1.6224205906518
204319,TRUE,vwfa,continu,z,silhou,-2.66559856255026,-2.05816673921005
204319,TRUE,vwfa,continu,z,dphono,0.0124024679393468,0.435774790402153
204319,TRUE,vwfa,continu,z,incongruency,-0.00624208972158964,-0.0110595404510188
204319,TRUE,vwfa,continu,z,congruency,-0.0804601259596358,-0.0624520913013219
233326,FALSE,vwfa,continu,z,target,-0.0517585501260048,-0.0817235213995239
233326,FALSE,vwfa,continu,z,cielab,-5.56403469624752e-06,-0.111927721784929
233326,FALSE,vwfa,continu,z,tphono,0.00796219935494087,0.310079133588079
233326,FALSE,vwfa,continu,z,distractor,-0.39378626593999,-0.621763945339285
233326,FALSE,vwfa,continu,z,silhou,0.467546659882224,0.400125540627381
233326,FALSE,vwfa,continu,z,dphono,0.00690083823778926,0.268745587295217
233326,FALSE,vwfa,continu,z,incongruency,0.0515464321583604,0.101225793605835
233326,FALSE,vwfa,continu,z,congruency,-0.0481348202483211,-0.041410563220347
300618,TRUE,vwfa,continu,z,target,-0.0455021459302074,-0.0746947595037305
300618,TRUE,vwfa,continu,z,cielab,-3.04774312231682e-06,-0.0637410890458831
300618,TRUE,vwfa,continu,z,tphono,0.00520716739867368,0.210830927397879
300618,TRUE,vwfa,continu,z,distractor,-0.276255443820293,-0.453491445643112
300618,TRUE,vwfa,continu,z,silhou,0.327165726708052,0.2910934286714
300618,TRUE,vwfa,continu,z,dphono,0.00636481025987914,0.257702268251191
300618,TRUE,vwfa,continu,z,incongruency,0.12617142213863,0.25760059564218
300618,TRUE,vwfa,continu,z,congruency,-0.176121338752297,-0.157527741263033
317332,TRUE,vwfa,continu,z,target,-0.397156531189083,-0.838714209750348
317332,TRUE,vwfa,continu,z,cielab,1.77479904185472e-05,0.477512058091613
317332,TRUE,vwfa,continu,z,tphono,0.0104806449971,0.545902179417087
317332,TRUE,vwfa,continu,z,distractor,0.0869468193822491,0.183614084578082
317332,TRUE,vwfa,continu,z,silhou,-0.0584334892847772,-0.0668837258832259
317332,TRUE,vwfa,continu,z,dphono,-0.00215548182998286,-0.112271928779877
317332,TRUE,vwfa,continu,z,incongruency,-0.0507823827790839,-0.13338069534931
317332,TRUE,vwfa,continu,z,congruency,0.0466309101813009,0.0536553457927951
346945,TRUE,vwfa,continu,z,target,0.316842512162773,0.531561323992064
346945,TRUE,vwfa,continu,z,cielab,1.00453454888909e-05,0.214712668512944
346945,TRUE,vwfa,continu,z,tphono,-0.015957314667444,-0.660304505801508
346945,TRUE,vwfa,continu,z,distractor,-0.0389069311524372,-0.0652735003730382
346945,TRUE,vwfa,continu,z,silhou,0.198613488525985,0.180603021454928
346945,TRUE,vwfa,continu,z,dphono,-0.00346125332663023,-0.143224672504406
346945,TRUE,vwfa,continu,z,incongruency,0.163612262116418,0.341392036274109
346945,TRUE,vwfa,continu,z,congruency,-0.0465823985143862,-0.0425812676591478
352738,TRUE,vwfa,continu,z,target,0.221400360775766,0.392324820510475
352738,TRUE,vwfa,continu,z,cielab,2.11379776034951e-06,0.0477214640529719
352738,TRUE,vwfa,continu,z,tphono,-0.00949068925020581,-0.414800947241667
352738,TRUE,vwfa,continu,z,distractor,-0.114835387318481,-0.20349006008895
352738,TRUE,vwfa,continu,z,silhou,0.365033550378096,0.350595702744302
352738,TRUE,vwfa,continu,z,dphono,-0.00212669747559562,-0.0929496377045949
352738,TRUE,vwfa,continu,z,incongruency,-0.0300486004549197,-0.0662245963516141
352738,TRUE,vwfa,continu,z,congruency,0.0531488297100189,0.0513154309120419
393550,FALSE,vwfa,continu,z,target,0.250183859611504,0.410605153799527
393550,FALSE,vwfa,continu,z,cielab,-1.79114800881958e-05,-0.374523822906529
393550,FALSE,vwfa,continu,z,tphono,-0.0010545466267117,-0.0426879618871529
393550,FALSE,vwfa,continu,z,distractor,-0.552057942369924,-0.906045005001712
393550,FALSE,vwfa,continu,z,silhou,1.1949648183822,1.06298362142119
393550,FALSE,vwfa,continu,z,dphono,-0.00338595181213214,-0.137063054631109
393550,FALSE,vwfa,continu,z,incongruency,-0.0707185799988434,-0.144353144926897
393550,FALSE,vwfa,continu,z,congruency,0.169320917778277,0.15141278071147
448347,TRUE,vwfa,continu,z,target,0.0574414124954838,0.110368837393363
448347,TRUE,vwfa,continu,z,cielab,-1.01874487952735e-05,-0.249384616982739
448347,TRUE,vwfa,continu,z,tphono,0.00179173115493594,0.084911933011502
448347,TRUE,vwfa,continu,z,distractor,-0.0649175064961059,-0.124733522508977
448347,TRUE,vwfa,continu,z,silhou,0.197202636363853,0.205371615488761
448347,TRUE,vwfa,continu,z,dphono,0.00194610969061871,0.0922280863552659
448347,TRUE,vwfa,continu,z,incongruency,-0.126729035582614,-0.302848270059808
448347,TRUE,vwfa,continu,z,congruency,0.115757050993638,0.121186885641112
580650,TRUE,vwfa,continu,z,target,0.0445757009835944,0.0782777674008976
580650,TRUE,vwfa,continu,z,cielab,-1.05182101769596e-05,-0.235323315585769
580650,TRUE,vwfa,continu,z,tphono,0.00317290122140133,0.137426765855383
580650,TRUE,vwfa,continu,z,distractor,-0.364121391496467,-0.639420333507232
580650,TRUE,vwfa,continu,z,silhou,0.569822237058778,0.542357921886728
580650,TRUE,vwfa,continu,z,dphono,0.00262941681749957,0.113887015100689
580650,TRUE,vwfa,continu,z,incongruency,-0.0404187369420164,-0.0882776162091366
580650,TRUE,vwfa,continu,z,congruency,0.0398617002031047,0.0381401925254898
594156,TRUE,vwfa,continu,z,target,0.038158767840111,0.0661131852259943
594156,TRUE,vwfa,continu,z,cielab,4.92415869728507e-06,0.108694769187759
594156,TRUE,vwfa,continu,z,tphono,-0.00338346882463832,-0.144587398277277
594156,TRUE,vwfa,continu,z,distractor,-0.307718886932625,-0.533148131369417
594156,TRUE,vwfa,continu,z,silhou,0.791002504041683,0.742810343412643
594156,TRUE,vwfa,continu,z,dphono,-0.0057040674566894,-0.243754654145205
594156,TRUE,vwfa,continu,z,incongruency,0.149175600144052,0.321454228193767
594156,TRUE,vwfa,continu,z,congruency,-0.0418888483931807,-0.0395438520819534
601127,TRUE,vwfa,continu,z,target,-0.189469283763767,-0.27197608292235
601127,TRUE,vwfa,continu,z,cielab,1.63174465132818e-05,0.298419339045203
601127,TRUE,vwfa,continu,z,tphono,0.00327423469883595,0.115924767405039
601127,TRUE,vwfa,continu,z,distractor,0.0630002380281844,0.0904344895473812
601127,TRUE,vwfa,continu,z,silhou,-0.302577883808357,-0.235415702864044
601127,TRUE,vwfa,continu,z,dphono,0.00285748406212551,0.101169649012417
601127,TRUE,vwfa,continu,z,incongruency,-0.0844775907239115,-0.150820727382567
601127,TRUE,vwfa,continu,z,congruency,0.187185733070411,0.146403500005272
765864,TRUE,vwfa,continu,z,target,0.208267469593597,0.513907369370594
765864,TRUE,vwfa,continu,z,cielab,8.05623486591014e-06,0.253266873347642
765864,TRUE,vwfa,continu,z,tphono,-0.0123317727611529,-0.750522028332208
765864,TRUE,vwfa,continu,z,distractor,-0.0353707566277405,-0.0872785967327227
765864,TRUE,vwfa,continu,z,silhou,0.29970312217019,0.400830737615703
765864,TRUE,vwfa,continu,z,dphono,-0.00634721412916501,-0.3862967729576
765864,TRUE,vwfa,continu,z,incongruency,0.018363667047531,0.0563573320209254
765864,TRUE,vwfa,continu,z,congruency,-0.050028104711064,-0.0672611469390126
814649,TRUE,vwfa,continu,z,target,-0.119478988801471,-0.235875148329526
814649,TRUE,vwfa,continu,z,cielab,4.53420833994219e-06,0.11404466778315
814649,TRUE,vwfa,continu,z,tphono,0.00313147623185132,0.152480494924403
814649,TRUE,vwfa,continu,z,distractor,0.844476873793416,1.6671643262554
814649,TRUE,vwfa,continu,z,silhou,-1.05509468237422,-1.12898566555279
814649,TRUE,vwfa,continu,z,dphono,-0.00979164870175162,-0.476783257999161
814649,TRUE,vwfa,continu,z,incongruency,0.124747804649794,0.306302943122545
814649,TRUE,vwfa,continu,z,congruency,-0.119977180765526,-0.1290553800394
843151,TRUE,vwfa,continu,z,target,-0.29438823435659,-0.601769966143172
843151,TRUE,vwfa,continu,z,cielab,8.08222800699043e-06,0.210486391613471
843151,TRUE,vwfa,continu,z,tphono,0.010517751662171,0.530282747103665
843151,TRUE,vwfa,continu,z,distractor,0.628827801739397,1.28541035544326
843151,TRUE,vwfa,continu,z,silhou,-1.67471062079012,-1.8554795837722
843151,TRUE,vwfa,continu,z,dphono,0.011005049701887,0.554851281469068
843151,TRUE,vwfa,continu,z,incongruency,-0.0372367413189681,-0.094669337499142
843151,TRUE,vwfa,continu,z,congruency,-0.0558740742812082,-0.0622310622410952
849971,TRUE,vwfa,continu,z,target,-0.263667526525521,-0.52462230090717
849971,TRUE,vwfa,continu,z,cielab,1.30754242671283e-05,0.331458192284062
849971,TRUE,vwfa,continu,z,tphono,0.00601844893677261,0.295358319387983
849971,TRUE,vwfa,continu,z,distractor,0.0860246541485499,0.171164240772707
