"","subj","purpleWHITE","pc50_i","pc50_c","blueBLUE","whiteBLUE","purplePURPLE","whiteWHITE","redBLUE","bluePURPLE","redRED","redWHITE","blueRED","purpleRED","purpleBLUE","whitePURPLE","blueWHITE","redPURPLE","whiteRED","nuisance"
"79","DMCC6904377",7,36,36,9,8,9,9,9,9,9,9,8,8,9,8,9,9,9,6
"80","DMCC6960387",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"81","DMCC7297690",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"82","DMCC7921988",9,34,36,9,9,9,9,9,8,9,9,9,9,9,9,9,8,7,6
"83","DMCC8033964",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
"84","DMCC8050964",9,36,36,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,1
"85","DMCC8078683",9,36,36,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,1
"86","DMCC8214059",9,33,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3
"87","DMCC8260571",9,36,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,1
"88","DMCC8760894",9,36,36,9,9,9,8,9,9,9,9,9,9,9,9,8,9,9,2
"89","DMCC9441378",8,35,36,9,9,9,9,8,7,9,9,9,7,9,9,9,9,9,7
"90","DMCC9478705",9,30,34,8,9,9,9,8,7,9,9,8,9,8,9,9,9,8,15
"91","DMCC9850294",9,35,36,9,9,9,9,9,7,9,9,9,9,9,9,9,9,9,3
"92","DMCC9953810",9,35,36,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1
