param,m,d,p,fpr
target,0.0114201325878121,0.167709548720474,0.147255908426969,0.0698185101081846
distractor,-0.00382132349928984,-0.0600414383714875,0.570416103086453,0.0441069984424997
congruency,-0.0136752393814147,-0.137595398018156,0.850439490309904,0.0373380184420807
incongruency,0.0383696448475419,0.234704443078321,0.0696472844062566,0.0792478184859505
