"subj","congr","stroop"
"107321",574.505553154712,98.3196411865667
"123117",1038.08651116499,111.646502676902
"130114",711.608876922944,48.1016353791377
"132017",908.838546184684,127.994149547372
"138837",810.170612518724,147.703761307779
"141422",901.102375754842,78.8566234566181
"150423",885.510702276953,83.9276125440296
"158136",751.461695570722,78.7752687929118
"160830",1009.90725765752,101.234602090991
"161832",1231.08621311805,91.3191828234723
"165032",826.481116050696,47.8409196641915
"171330",930.913317414281,83.0409468542838
"178243",1105.78996844908,132.447100057014
"178950",894.547487411403,18.4503472365901
"182436",1213.70628397453,33.6147086481682
"197449",896.343852085331,72.9777769748696
"203418",753.415470751362,77.1644575481904
"204319",922.293980861597,51.9684042073699
"300618",720.279480206758,46.7606533848191
"317332",761.254378691925,76.0823140645109
"346945",910.322063042907,85.5465960669874
"352738",814.941521853123,87.1644712329153
"448347",701.127898820558,101.420201092423
"580650",1020.94597813559,105.164426073493
"594156",777.333900079998,72.5493355252612
"601127",731.560351283351,119.185472982152
"765864",740.127096428702,87.468434771628
"814649",998.232435310371,81.0662249435241
"843151",943.768947118581,97.91487032779
"849971",947.934446565944,43.3546974675149
"873968",753.630649564678,69.6340054997475
"877168",913.587190767931,96.7947493237938
"DMCC1971064",717.073700905221,65.3422565799234
"DMCC2442951",582.807777150757,60.9265175014477
"DMCC3062542",929.34206881744,82.0299908905819
"DMCC4854075",714.674764579158,40.0345491674385
"DMCC5009144",595.305464410485,47.4895701588645
"DMCC6418065",696.424632898231,91.3463995669872
"DMCC6484785",827.858422398525,46.8252762065764
"DMCC6661074",817.448345443611,89.7029074582357
"DMCC6671683",635.057450307283,90.1859923946372
"DMCC6721369",666.501404165833,96.8244444087978
"DMCC7297690",823.955302690867,57.1860697986429
"DMCC7921988",775.22824771863,126.175795730479
"DMCC8033964",706.208006929504,27.303943427765
"DMCC8050964",718.786079010638,99.6750175727077
"DMCC9441378",769.150222048583,146.250759958533
"DMCC9478705",788.732223502037,51.0524155545145
"DMCC9953810",640.904266695173,111.219849435036
