group,term,roi,b,se,t,p,p.fdr,model
1,trial.typeincon:dmfc_L_incongruency,dmfc_L,47.6596160355576,25.9659999452251,1.8354623791148,0.0664666230022192,0.132933246004438,DMFC (L) incon.
1,trial.typeincon:dmfc_R_incongruency,dmfc_R,-0.0990899521859847,33.1504300778761,-0.00298910004947765,0.997615105862931,0.997615105862931,DMFC (R) incon.
2,trial.typeincon:dmfc_L_target,dmfc_L,48.4019861876767,90.6270889987763,0.53407857101457,0.593298941036291,0.706127313968183,DMFC (L) target
2,trial.typeincon:dmfc_R_target,dmfc_R,-24.0393713895178,63.752572649478,-0.377072961771915,0.706127313968183,0.706127313968183,DMFC (R) target
3,trial.typeincon:dlpfc_L_incongruency,dlpfc_L,14.0848991867902,41.1697716493626,0.342117495981018,0.732269596613041,0.732269596613041,DLPFC (L) incon.
3,trial.typeincon:dlpfc_R_incongruency,dlpfc_R,38.4194863265341,33.6560047431752,1.14153437461483,0.253674706108375,0.507349412216749,DLPFC (R) incon.
4,trial.typeincon:dlpfc_L_target,dlpfc_L,-105.929201396388,78.3441579278919,-1.35210083557073,0.176373364777761,0.176373364777761,DLPFC (L) target
4,trial.typeincon:dlpfc_R_target,dlpfc_R,-239.131267852677,71.6838307798662,-3.33591641589335,0.000853256174392561,0.00170651234878512,DLPFC (R) target
5,trial.typeincon:lppc_L_incongruency,lppc_L,-48.9516949675366,38.1280315773929,-1.28387679464054,0.199214548885961,0.31466947086071,LPPC (L) incon.
5,trial.typeincon:lppc_R_incongruency,lppc_R,-32.3998513230509,32.2219083352676,-1.00552242238206,0.31466947086071,0.31466947086071,LPPC (R) incon.
6,trial.typeincon:lppc_L_target,lppc_L,-1.89578638282845,93.654026086409,-0.0202424440469791,0.983850369613397,0.983850369613397,LPPC (L) target
6,trial.typeincon:lppc_R_target,lppc_R,-235.344849174212,71.2327954183845,-3.30388338393739,0.00095687598446891,0.00191375196893782,LPPC (R) target
