id,r.line,r.rank,r2.line,r2.rank,t0_line,lower_line,upper_line,p.leq0_line,t0_rank,lower_rank,upper_rank,p.leq0_rank,p.geq0_line,p.geq0_rank
dpm_R_incongruency,0.0358577538361831,-0.000408163265306122,0.00128577851017631,1.66597251145356e-07,0.0358577538361831,-0.23597657542655,0.308505279927097,0.5927,-0.000408163265306122,-0.288340456715997,0.279342217471056,0.5003,0.4073,0.4997
dpm_R_target,-0.131706491753907,-0.0576530612244898,0.0173465999701219,0.00332387546855477,-0.131706491753907,-0.415649408476613,0.144482635721839,0.1981,-0.0576530612244898,-0.360851019196401,0.237674478134556,0.3616,0.8019,0.6384
evis_distractor,-0.0810057876858979,-0.0642857142857143,0.00656193763861277,0.00413265306122449,-0.0810057876858979,-0.332012394462559,0.192017832934974,0.2588,-0.0642857142857143,-0.334170548688428,0.224665182337677,0.3294,0.7412,0.6706
evis_incongruency,-0.270750442849278,-0.311122448979592,0.0733058023030801,0.0967971782590587,-0.270750442849278,-0.524928448284203,0.050418860732136,0.0386,-0.311122448979592,-0.558033046883409,-0.0184109719525451,0.0169,0.9614,0.9831
evis_target,-0.0629619805524953,-0.00224489795918367,0.0039642109950928,5.03956684714702e-06,-0.0629619805524953,-0.375063210101184,0.221988746385487,0.3494,-0.00224489795918367,-0.280401597824982,0.283972368374907,0.4917,0.6506,0.5083
fpc_L_distractor,-0.0571940231585481,0.0557142857142857,0.00327115628506054,0.00310408163265306,-0.0571940231585481,-0.373945725600032,0.235509581869805,0.3782,0.0557142857142857,-0.246608917408972,0.331844407230465,0.6449,0.6218,0.3551
fpc_L_incongruency,-0.0001597366846578,-0.0553061224489796,2.55158084254655e-08,0.00305876718034152,-0.0001597366846578,-0.237243380058099,0.333080889327097,0.4698,-0.0553061224489796,-0.321346546350066,0.239992732370977,0.3517,0.5302,0.6483
fpc_L_target,-0.170981179060004,-0.136122448979592,0.029234563592749,0.0185293211162016,-0.170981179060004,-0.430117707092254,0.0941316726605657,0.1113,-0.136122448979592,-0.407234390330124,0.149885928335294,0.1734,0.8887,0.8266
fpc_R_distractor,0.0821228876955864,0.125510204081633,0.00674416868346189,0.0157528113286131,0.0821228876955864,-0.212135218896551,0.357557273076392,0.7165,0.125510204081633,-0.183065043866724,0.397689677154941,0.7969,0.2835,0.2031
fpc_R_incongruency,-9.91012606462845e-05,-0.0204081632653061,9.82105986168282e-09,0.00041649312786339,-9.91012606462845e-05,-0.194814204143041,0.21498241070222,0.4908,-0.0204081632653061,-0.276528230390724,0.251394918977526,0.4402,0.5092,0.5598
fpc_R_target,-0.0843829548188525,-0.105714285714286,0.00712048306396051,0.0111755102040816,-0.0843829548188525,-0.357204819809483,0.221417877219194,0.2835,-0.105714285714286,-0.393008909969813,0.198987636649933,0.2513,0.7165,0.7487
ifc_L_distractor,-0.101033903520467,-0.0552040816326531,0.010207849660583,0.00304749062890462,-0.101033903520467,-0.382468202931404,0.203738792026889,0.2588,-0.0552040816326531,-0.357803864063539,0.244953553653284,0.3591,0.7412,0.6409
ifc_L_incongruency,-0.144569174620862,-0.195918367346939,0.0209002462505573,0.03838400666389,-0.144569174620862,-0.373237000554141,0.117894090023592,0.1235,-0.195918367346939,-0.455095545628935,0.093941453502951,0.0906,0.8765,0.9094
ifc_L_target,-0.141869996179905,-0.165,0.0201270958160863,0.027225,-0.141869996179905,-0.388785192131896,0.0930874280453367,0.1147,-0.165,-0.415676201057895,0.112285631099833,0.1132,0.8853,0.8868
ifc_R_distractor,0.00369626271972766,0.0179591836734694,1.36623580932485e-05,0.000322532278217409,0.00369626271972766,-0.255729717316268,0.267859069705511,0.5123,0.0179591836734694,-0.251644652465666,0.280842470654426,0.5469,0.4877,0.4531
ifc_R_incongruency,-0.0631953539496695,-0.125816326530612,0.00399365276082401,0.0158297480216576,-0.0631953539496695,-0.321331210597881,0.223592465855778,0.3209,-0.125816326530612,-0.397103547126226,0.18034626956559,0.2002,0.6791,0.7998
ifc_R_target,-0.296758730717037,-0.268877551020408,0.0880657442567867,0.0722951374427322,-0.296758730717037,-0.553601263747762,-0.00488101813229521,0.0249,-0.268877551020408,-0.52398640225404,0.0231398786610656,0.0347,0.9751,0.9653
ins_L_distractor,-0.106016433537892,-0.0205102040816327,0.0112394841800942,0.000420668471470221,-0.106016433537892,-0.37396229615442,0.15984233043772,0.2333,-0.0205102040816327,-0.305335151170214,0.271495398214285,0.4413,0.7667,0.5587
ins_L_incongruency,-0.121442801114916,-0.155204081632653,0.0147483539426369,0.0240883069554352,-0.121442801114916,-0.378616577889637,0.144787699109299,0.188,-0.155204081632653,-0.429685059724424,0.145881270133456,0.1522,0.812,0.8478
ins_L_target,-0.192529259729942,-0.188775510204082,0.0370675158521594,0.0356361932528113,-0.192529259729942,-0.437670523135606,0.0916704954295534,0.0776,-0.188775510204082,-0.459097437015381,0.112690978571995,0.1065,0.9224,0.8935
ins_R_distractor,-0.139090068949365,-0.0640816326530612,0.0193460472803391,0.00410645564348188,-0.139090068949365,-0.407897443987039,0.131852127561442,0.1676,-0.0640816326530612,-0.361189658074832,0.226309923632825,0.3346,0.8324,0.6654
ins_R_incongruency,0.152665507501889,0.0888775510204082,0.0233067571808094,0.00789921907538525,0.152665507501889,-0.146311722408409,0.404331332405053,0.8511,0.0888775510204082,-0.199198003173282,0.366759068000865,0.719,0.1489,0.281
ins_R_target,0.0402585368614796,0.0719387755102041,0.00162074979022711,0.00517518742190754,0.0402585368614796,-0.263056690148242,0.321713857582435,0.6076,0.0719387755102041,-0.248873295968549,0.373421118887367,0.6702,0.3924,0.3298
lppc_L_distractor,-0.11700473949776,-0.15530612244898,0.0136901090649387,0.0241199916701374,-0.11700473949776,-0.425196309925371,0.247769520434706,0.2457,-0.15530612244898,-0.437388055496508,0.164426506373818,0.161,0.7543,0.839
lppc_L_incongruency,-0.178883086274402,-0.257857142857143,0.0319991585550553,0.066490306122449,-0.178883086274402,-0.401113605736652,0.142487109025783,0.0927,-0.257857142857143,-0.4927036799174,0.0358569690668739,0.0341,0.9073,0.9659
lppc_L_target,-0.00984970991034706,0.00704081632653061,9.70167853179891e-05,4.957309454394e-05,-0.00984970991034706,-0.297180236127882,0.277329331972277,0.4708,0.00704081632653061,-0.303398363583424,0.31251051234966,0.5181,0.5292,0.4819
lppc_R_distractor,-0.000218383356023219,0.0133673469387755,4.76912901879641e-08,0.000178685964181591,-0.000218383356023219,-0.277823806799378,0.299369434903388,0.4936,0.0133673469387755,-0.274355925987834,0.314732110902679,0.5316,0.5064,0.4684
lppc_R_incongruency,-0.149746632146288,-0.182857142857143,0.0224240538391557,0.0334367346938776,-0.149746632146288,-0.399094356868275,0.136585151287581,0.1359,-0.182857142857143,-0.451196929690779,0.110245140721189,0.1068,0.8641,0.8932
lppc_R_target,-0.438752044702858,-0.350816326530612,0.192503356730939,0.123072094960433,-0.438752044702858,-0.627484926024712,-0.178197513449837,0.0015,-0.350816326530612,-0.589408632405078,-0.049032260271992,0.0099,0.9985,0.9901
ofc_L_distractor,0.08049974671952,0.0659183673469388,0.00648020922190687,0.00434523115368596,0.08049974671952,-0.263248091662068,0.39631880997318,0.6838,0.0659183673469388,-0.231614422102312,0.361126005216086,0.6661,0.3162,0.3339
ofc_L_incongruency,0.04068142579093,0.0158163265306122,0.00165497840438295,0.000250156184922949,0.04068142579093,-0.237056590537183,0.307473469324663,0.618,0.0158163265306122,-0.303436024545835,0.314322633493727,0.546,0.382,0.454
ofc_L_target,-0.0600062483738105,0.00551020408163265,0.00360074984389943,3.03623490212411e-05,-0.0600062483738105,-0.326302756677693,0.2305690769295,0.3364,0.00551020408163265,-0.295622087510339,0.29795972194979,0.5182,0.6636,0.4818
ofc_R_distractor,-0.0841362565921723,-0.0766326530612245,0.00707890967334386,0.005872563515202,-0.0841362565921723,-0.376281715296519,0.228206954551187,0.2863,-0.0766326530612245,-0.381764119485446,0.252483970044205,0.317,0.7137,0.683
ofc_R_incongruency,-0.100447757600757,-0.164285714285714,0.0100897520070205,0.0269897959183673,-0.100447757600757,-0.40222298998973,0.223982289271144,0.2567,-0.164285714285714,-0.444791942272916,0.161849159830466,0.1517,0.7433,0.8483
ofc_R_target,-0.125946352165631,-0.154795918367347,0.0158624836238291,0.0239617763431903,-0.125946352165631,-0.37956107862309,0.164633358901323,0.1798,-0.154795918367347,-0.414694322691626,0.134830104510781,0.1441,0.8202,0.8559
smmouth_distractor,0.22510373208044,0.251632653061224,0.0506716901965426,0.0633189920866306,0.22510373208044,-0.0242405047988268,0.443147730246167,0.9689,0.251632653061224,-0.0424794811921599,0.499413625016294,0.9603,0.0311,0.0397
smmouth_incongruency,0.183107716453136,0.137448979591837,0.0335284358246822,0.0188922219908371,0.183107716453136,-0.0733812905341936,0.454094386807885,0.9009,0.137448979591837,-0.162121880584637,0.418691289436812,0.8173,0.0991,0.1827
smmouth_target,-0.162956076535038,-0.141020408163265,0.026554682879693,0.0198867555185339,-0.162956076535038,-0.415223663975981,0.174260970179652,0.1435,-0.141020408163265,-0.413135718386396,0.144229356036725,0.1701,0.8565,0.8299
V1_distractor,-0.134315601276057,-0.115816326530612,0.0180406807461488,0.0134134214910454,-0.134315601276057,-0.387032383731077,0.165184199694274,0.1762,-0.115816326530612,-0.393552424635377,0.183845505971152,0.2225,0.8238,0.7775
V1_incongruency,-0.27809916664957,-0.358877551020408,0.0773391464911854,0.128793096626406,-0.27809916664957,-0.523148794771281,0.0316000302690617,0.0266,-0.358877551020408,-0.584180484669656,-0.0674729886945906,0.0053,0.9734,0.9947
V1_target,-0.0640732994669728,0.0205102040816327,0.00410538770458437,0.000420668471470221,-0.0640732994669728,-0.38603108617454,0.223182493862341,0.3646,0.0205102040816327,-0.259888442362014,0.297786826131375,0.5547,0.6354,0.4453
vpm_L_distractor,-0.0255829325824574,-0.0218367346938776,0.000654486439518561,0.000476842982090795,-0.0255829325824574,-0.291134350061935,0.255081503658376,0.4286,-0.0218367346938776,-0.300638569604087,0.248316840083347,0.4416,0.5714,0.5584
vpm_L_incongruency,0.00148417991069397,-0.0460204081632653,2.20279000730757e-06,0.00211787796751354,0.00148417991069397,-0.290569044586196,0.319004332278769,0.4966,-0.0460204081632653,-0.338104236642625,0.266598588341895,0.3743,0.5034,0.6257
vpm_L_target,-0.045930654631077,0.0190816326530612,0.00210962503483927,0.000364108704706372,-0.045930654631077,-0.267379149844738,0.168097838876945,0.3489,0.0190816326530612,-0.24191997077174,0.275937520953302,0.5501,0.6511,0.4499
vpm_R_distractor,0.0669650142464819,0.152448979591837,0.00448431313303153,0.0232406913785923,0.0669650142464819,-0.264612069596216,0.35280608099176,0.6659,0.152448979591837,-0.147633200830451,0.421973295988099,0.8519,0.3341,0.1481
vpm_R_incongruency,0.0128438832852639,-0.0319387755102041,0.000164965337845482,0.00102008538109121,0.0128438832852639,-0.208354203337343,0.268357693127569,0.5294,-0.0319387755102041,-0.309704330878268,0.248795521471385,0.416,0.4706,0.584
vpm_R_target,-0.285422626407952,-0.168163265306122,0.0814660756656134,0.0282788837984173,-0.285422626407952,-0.540562505644106,-0.00735427175366396,0.037,-0.168163265306122,-0.436961643561676,0.120071737559737,0.1241,0.963,0.8759
vvis_L_distractor,0.0103107934683957,-0.036734693877551,0.000106312461947912,0.00134943773427738,0.0103107934683957,-0.236709165818318,0.321260141289647,0.5051,-0.036734693877551,-0.300473747753816,0.248529083352693,0.3986,0.4949,0.6014
vvis_L_incongruency,-0.346464114180057,-0.425408163265306,0.120037382414571,0.180972105372761,-0.346464114180057,-0.520850844474485,-0.125725319722105,2e-04,-0.425408163265306,-0.617470413042377,-0.190054743122133,2e-04,0.9998,0.9998
vvis_L_target,0.0247525027570003,-0.0455102040816326,0.000612686392735305,0.00207117867555185,0.0247525027570003,-0.276686999875514,0.35155682351833,0.5579,-0.0455102040816326,-0.335647590098053,0.261203210243686,0.3887,0.4421,0.6113
vvis_R_distractor,0.110788575928799,0.144489795918367,0.0122741085563312,0.0208773011245314,0.110788575928799,-0.139684083955093,0.348266935623908,0.812,0.144489795918367,-0.126991716595434,0.38848037234304,0.8567,0.188,0.1433
vvis_R_incongruency,-0.218769954222428,-0.306734693877551,0.0478602928704834,0.0940861724281549,-0.218769954222428,-0.465481886254916,0.136121050948406,0.0712,-0.306734693877551,-0.538326027349251,0.00558571841167262,0.0198,0.9288,0.9802
vvis_R_target,-0.104099001292696,-0.105816326530612,0.0108366020701367,0.0111970949604332,-0.104099001292696,-0.405231283558935,0.205929527448734,0.2599,-0.105816326530612,-0.391862963757763,0.197000641006545,0.2456,0.7401,0.7544
vwfa_distractor,-0.0420903934928036,-0.0180612244897959,0.00177160122437904,0.000326207830070804,-0.0420903934928036,-0.265052832958394,0.167832640711565,0.3541,-0.0180612244897959,-0.293155070188482,0.241320228508785,0.447,0.6459,0.553
vwfa_incongruency,-0.179511124166839,-0.266224489795918,0.0322242436996422,0.070875478967097,-0.179511124166839,-0.403818394663172,0.0796791778226681,0.0674,-0.266224489795918,-0.499709338855474,0.0155636904149601,0.0274,0.9326,0.9726
vwfa_target,0.119850494957749,0.118571428571429,0.0143641411416173,0.0140591836734694,0.119850494957749,-0.14321169490453,0.363746508104013,0.8261,0.118571428571429,-0.173184223994661,0.388869378528834,0.7907,0.1739,0.2093
