model,nmovregs,b,p
target,m06,0.0100039478448448,0.36027173579586
target,m12,0.0126031411422202,0.170593097183529
distractor,m06,0.000121662292132488,0.644498256931044
distractor,m12,0.00408344016501203,0.42151059302382
incongruency,m06,0.00887951789526737,0.424011149140386
incongruency,m12,0.0082492833517925,0.411540957230789
