"effect.size" "hit.rate"
"250" 0.249 0.5062
"251" 0.25 0.5068
"252" 0.251 0.5188
"253" 0.252 0.5216
"254" 0.253 0.527
"255" 0.254 0.5258
"256" 0.255 0.5352
"257" 0.256 0.5222
"258" 0.257 0.5332
"259" 0.258 0.527
"260" 0.259 0.541
"261" 0.26 0.543
"262" 0.261 0.55
"263" 0.262 0.541
"264" 0.263 0.5406
"265" 0.264 0.5614
"266" 0.265 0.5466
"267" 0.266 0.571
"268" 0.267 0.568
"269" 0.268 0.5562
"270" 0.269 0.561
"271" 0.27 0.5714
"272" 0.271 0.5786
"273" 0.272 0.58
"274" 0.273 0.5632
"275" 0.274 0.575
"276" 0.275 0.5808
"277" 0.276 0.5926
"278" 0.277 0.5872
"279" 0.278 0.5852
"280" 0.279 0.5982
"281" 0.28 0.5822
"282" 0.281 0.5978
"283" 0.282 0.6034
"284" 0.283 0.603
"285" 0.284 0.5992
"286" 0.285 0.5984
"287" 0.286 0.6196
"288" 0.287 0.6084
"289" 0.288 0.6108
"290" 0.289 0.63
"291" 0.29 0.6304
"292" 0.291 0.625
"293" 0.292 0.6324
"294" 0.293 0.6314
"295" 0.294 0.6402
"296" 0.295 0.6364
"297" 0.296 0.6464
"298" 0.297 0.6238
"299" 0.298 0.6404
"300" 0.299 0.6464
"301" 0.3 0.6358
"302" 0.301 0.6476
"303" 0.302 0.635
"304" 0.303 0.662
"305" 0.304 0.6496
"306" 0.305 0.6568
"307" 0.306 0.6566
"308" 0.307 0.663
"309" 0.308 0.673
"310" 0.309 0.6704
"311" 0.31 0.6708
"312" 0.311 0.6754
"313" 0.312 0.67
"314" 0.313 0.681
"315" 0.314 0.6738
"316" 0.315 0.685
"317" 0.316 0.678
"318" 0.317 0.6832
"319" 0.318 0.6768
"320" 0.319 0.6834
"321" 0.32 0.6846
"322" 0.321 0.6906
"323" 0.322 0.7002
"324" 0.323 0.7126
"325" 0.324 0.7084
"326" 0.325 0.7002
"327" 0.326 0.7058
"328" 0.327 0.7098
"329" 0.328 0.7094
"330" 0.329 0.719
"331" 0.33 0.7078
"332" 0.331 0.7102
"333" 0.332 0.7194
"334" 0.333 0.7226
"335" 0.334 0.7348
"336" 0.335 0.7256
"337" 0.336 0.736
"338" 0.337 0.7366
"339" 0.338 0.7424
"340" 0.339 0.7382
"341" 0.34 0.7282
"342" 0.341 0.7486
"343" 0.342 0.7456
"344" 0.343 0.746
"345" 0.344 0.7512
"346" 0.345 0.7468
"347" 0.346 0.7496
"348" 0.347 0.7652
"349" 0.348 0.7546
"350" 0.349 0.755
"351" 0.35 0.7652
"352" 0.351 0.7598
"353" 0.352 0.7794
"354" 0.353 0.7582
"355" 0.354 0.7654
"356" 0.355 0.7824
"357" 0.356 0.7822
"358" 0.357 0.7838
"359" 0.358 0.779
"360" 0.359 0.787
"361" 0.36 0.776
"362" 0.361 0.7812
"363" 0.362 0.7914
"364" 0.363 0.7764
"365" 0.364 0.7928
"366" 0.365 0.7996
"367" 0.366 0.792
"368" 0.367 0.7872
"369" 0.368 0.7906
"370" 0.369 0.795
"371" 0.37 0.798
"372" 0.371 0.8014
"373" 0.372 0.8058
"374" 0.373 0.8016
"375" 0.374 0.8166
"376" 0.375 0.7982
"377" 0.376 0.811
"378" 0.377 0.8088
"379" 0.378 0.8182
"380" 0.379 0.815
"381" 0.38 0.8154
"382" 0.381 0.815
"383" 0.382 0.8206
"384" 0.383 0.8148
"385" 0.384 0.821
"386" 0.385 0.8346
"387" 0.386 0.8248
"388" 0.387 0.8308
"389" 0.388 0.8338
"390" 0.389 0.84
"391" 0.39 0.8356
"392" 0.391 0.8418
"393" 0.392 0.8402
"394" 0.393 0.8466
"395" 0.394 0.8524
"396" 0.395 0.8458
"397" 0.396 0.8522
"398" 0.397 0.837
"399" 0.398 0.8512
"400" 0.399 0.8488
"401" 0.4 0.8556
"402" 0.401 0.8512
"403" 0.402 0.8492
"404" 0.403 0.858
"405" 0.404 0.8544
"406" 0.405 0.865
"407" 0.406 0.8644
"408" 0.407 0.874
"409" 0.408 0.8658
"410" 0.409 0.873
"411" 0.41 0.869
