"subj","congr","stroop","er.mlm"
"107321",563.084863035139,99.1131807300126,0.574481402298687
"123117",1020.95022897103,121.07456362479,2.21426565942108
"130114",695.131719000483,55.7174716176784,1.14539651703206
"132017",903.075494287584,120.528934121722,0.30725310444627
"138837",806.929873106601,146.994744895757,4.18677161489868
"141422",900.281482003466,68.6338307870397,0.813543680680947
"150423",869.402387267563,87.4966697836054,0.572708566991051
"158136",746.182524547655,77.6412489049708,0.540538477934224
"160830",983.734194818091,101.514198537157,5.28305695116371
"161832",1234.75687554997,85.2463268220564,2.63579728758097
"165032",826.835661158664,24.9553687748109,3.61315307741676
"171330",931.506712004977,82.10298678694,0.572179562818343
"178243",1102.70132887057,129.400065366294,4.7147462263784
"178950",895.899029888357,13.2744877095007,0.30725310444627
"182436",1218.62079964918,17.4868093394685,5.47188829078074
"197449",887.065832660394,74.8215287559392,1.6186803666167
"203418",743.087360086239,81.9374273681237,0.30725310444627
"204319",904.313306826652,51.193353560069,1.61026403818262
"300618",720.553263215631,46.3552332104755,0.572179562818344
"317332",761.066423905293,72.4257534906803,3.88638827378634
"346945",909.299647184494,74.8960173786541,0.308206905068163
"352738",771.171378670823,123.415901671246,3.25843461925816
"448347",693.442135612274,89.05493366424,0.572179562818343
"580650",1012.23384874002,96.0856304517461,2.96457896593362
"594156",777.138810473709,65.9369496515361,0.30725310444627
"601127",714.423107332625,125.849169329118,3.05298365575284
"765864",739.667729118224,82.8469737270587,0.30725310444627
"814649",998.520852314727,76.5477185087599,0.820932281692898
"843151",941.525246073561,90.0695984096551,1.23820750683009
"849971",949.832862036808,31.6448759780048,0.308438534186115
"873968",753.704170139139,64.1573112492125,0.30725310444627
"877168",909.490975903297,86.4342098134498,0.813543680680949
"DMCC1971064",703.479909536793,70.1697893765887,0.572179562818343
"DMCC2442951",582.838671968748,59.2129275284818,0.813543680680949
"DMCC3062542",929.118470379336,75.8108306109084,0.30725310444627
"DMCC4854075",715.351924366147,34.3457836518954,1.82054052196735
"DMCC5009144",595.486295004297,43.3884349611023,0.888793442186772
"DMCC6418065",690.966546133885,93.9690296994098,0.30725310444627
"DMCC6484785",815.89098128874,48.2006556847964,0.572179562818343
"DMCC6661074",817.540754370682,89.5315103758392,0.572179562818344
"DMCC6671683",634.432981985862,85.8547183051001,0.572179562818344
"DMCC6721369",665.766134346211,92.7836866057371,1.23820750683009
"DMCC7297690",824.664968551951,49.7840317459835,0.30725310444627
"DMCC7921988",774.378467545457,127.30461647697,2.40191630993626
"DMCC8033964",706.689359673475,24.0556371553396,0.30725310444627
"DMCC8050964",718.506147674682,100.034008502448,0.572179562818344
"DMCC9441378",764.062915203441,147.053718657741,2.81587043884151
"DMCC9478705",789.228332219515,45.7761396598238,4.63475502551373
"DMCC9953810",627.84165919357,116.969126866622,0.572179562818344
